username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
Ara_MaHubbard,BrexitBetrayed,BREXIT Party aim to destroy conservatives I think so go for it. See who wins.,0,4,1,1138959094860177413,https://twitter.com/Ara_MaHubbard/status/1138959094860177413,824289637254529024,2019-06-12 23:59:43+00:00,Wed Jun 12 23:59:43 +0000 2019,,,,
peter_leyte,c_lindner,Englaender fliehen vor dem Brexit nach Deutschland.....(Hoffentlich bereuen sie es nicht). Wohin fliehen wir ??? ,0,0,0,1138959061695598592,https://twitter.com/peter_leyte/status/1138959061695598592,1396172060,2019-06-12 23:59:35+00:00,Wed Jun 12 23:59:35 +0000 2019,,,,https://twitter.com/c_lindner/status/1138879785692749824
AtlantoCeltica,,Evasive Boris Johnson admits no-deal Brexit will hurt UK during rambling campaign launch ,0,1,0,1138959048655671304,https://twitter.com/AtlantoCeltica/status/1138959048655671304,1063963083859730432,2019-06-12 23:59:32+00:00,Wed Jun 12 23:59:32 +0000 2019,,,,https://www.independent.co.uk/news/uk/politics/boris-johnson-no-deal-brexit-damage-tory-leadership-speech-uk-us-a8955361.html
BillArcherBHAFC,,@JGoddard230616 The #YellowJacketUK all know that #Brexit will be cancelled,0,0,0,1138958924407857153,https://twitter.com/BillArcherBHAFC/status/1138958924407857153,993147985432383489,2019-06-12 23:59:03+00:00,Wed Jun 12 23:59:03 +0000 2019,#YellowJacketUK #Brexit,@JGoddard230616,,
TammRehgallag,,If PM Johnson faces mass protests after Brexit will he deploy water cannons? Just asking.,4,15,7,1138958916644233217,https://twitter.com/TammRehgallag/status/1138958916644233217,167229393,2019-06-12 23:59:01+00:00,Wed Jun 12 23:59:01 +0000 2019,,,,
TiggerWHU,ManLikeTan,Tan I agree.. but why isn’t his focus on these issues? There are already so many voices on Brexit ... He could be a powerful voice on these issues which are more pressing... ask any of the loved ones left behind?,0,0,0,1138958914073092096,https://twitter.com/TiggerWHU/status/1138958914073092096,1244738054,2019-06-12 23:59:00+00:00,Wed Jun 12 23:59:00 +0000 2019,,,,
lilLBBasedGod,rebeckfast,I learned all about Brexit through them!,0,1,2,1138958836520370178,https://twitter.com/lilLBBasedGod/status/1138958836520370178,625216550,2019-06-12 23:58:42+00:00,Wed Jun 12 23:58:42 +0000 2019,,,,
Oldcranky2,BBCNews,We're sick of hearing words ..we want action #brexit,0,0,0,1138958835748659200,https://twitter.com/Oldcranky2/status/1138958835748659200,1133851438566772737,2019-06-12 23:58:41+00:00,Wed Jun 12 23:58:41 +0000 2019,#brexit,,,
StevenInMasan,,"Grim fairytales abound already. As if the UK won't pressingly need our trade, as if there were really a one-at-a-time EU queue with Madrid waiting to veto, as if , as if rich countries don't run deficits. EU Scotland will be fine. Brexit Britain will not.",0,1,0,1138958832217022466,https://twitter.com/StevenInMasan/status/1138958832217022466,3238749513,2019-06-12 23:58:41+00:00,Wed Jun 12 23:58:41 +0000 2019,,,,
etkphotos,BrexitCentral,"#Brexit It appears Dominic Griveve MP has long stopped his "" ears"" to the voices of the people on brexit ! He no longer represent the views of his electorate and should be sitting on the cross bench as a #RemainerNow",1,0,0,1138958815808827392,https://twitter.com/etkphotos/status/1138958815808827392,1443644348,2019-06-12 23:58:37+00:00,Wed Jun 12 23:58:37 +0000 2019,#Brexit #RemainerNow,,,https://twitter.com/BrexitCentral/status/1138832157978365952
