Barragem_Nome,Barragem_Altura_AcimaNivelTerreno,Barragem_Capacidade,Barragem_Principal_Tipo_material,Barragem_Principal_comprimento,Uso_principal,Barragem_Categoria_Risco,Barragem_Dano_Potencial_Associado,TemPAE,TemPlanoSeguranca,TemRevisaoPeriodica,CriterioVazaoProjeto_OrgaoExtravasor,TemProjetoExecutivo,TemProjetoComo construido,TemProjetoBasico,TemProjetoConceitual,TemEclusa,Barragem_FasedeVida,ReguladaPNSB,Barragem Pública ou particular,Submetida à algum regulamento?,material_score,risco_score,DPA_score,temPAE_score,temPS_score,maintenance_score,vazao_score,doc_score,Eclusa_score
Barragem Luiz Carlos,15.0,1.321,"terra, enrocamento ou outros",556.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Albino Weyer,11.0,1.205,"terra, enrocamento ou outros",460.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Pulmão Agriter,20.0,11.08,"terra, enrocamento ou outros",540.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,sim,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,4.0,0.0
Barragem Wehrmann,21.0,10.075,"terra, enrocamento ou outros",798.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,sim,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,4.0,0.0
Barragem Gerson Gonçalves,21.0,5.827,"terra, enrocamento ou outros",330.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem SAE Catalão,18.0,4.558,"terra, enrocamento ou outros",245.0,abastecimento humano,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Pública,Não,3.0,,,,,,10,6.0,0.0
Barragem João Leite Saneago,46.5,129.0,concreto convencional,451.0,abastecimento humano,,,,,,cheia máxima provável,não,não,sim,sim,não,operação,sim,Estatal não dependente,Não,1.0,,,,,,3,4.0,0.0
Barragem José Fava,21.0,1.88,"terra, enrocamento ou outros",338.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Oli Fiorese,11.0,0.79,"terra, enrocamento ou outros",281.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 3 Alexandre Funari,11.0,1.574,"terra, enrocamento ou outros",400.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 2 Alexandre Funari,6.0,0.699,"terra, enrocamento ou outros",250.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Lasa Lago Azul,9.0,0.79,"terra, enrocamento ou outros",152.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Maria Consuelo,3.5,0.538,"terra, enrocamento ou outros",260.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Álvaro Amorim,9.0,0.77,"terra, enrocamento ou outros",345.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Júlio Bernardes,5.5,0.775,"terra, enrocamento ou outros",420.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 1 Daniel Finco,12.5,1.428,"terra, enrocamento ou outros",460.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 2 Daniel Finco,10.0,0.658,"terra, enrocamento ou outros",360.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Lauri Pooz,8.0,1.096,"terra, enrocamento ou outros",294.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem João Luiz Gilioli,7.7,0.277,"terra, enrocamento ou outros",245.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 27 Agriter,6.0,0.237,"terra, enrocamento ou outros",192.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 3 Miguel Barbosa e Outros,6.5,1.477,"terra, enrocamento ou outros",504.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 2 Agriter,9.0,0.784,"terra, enrocamento ou outros",190.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 4 Terrafértil,5.0,0.049,"terra, enrocamento ou outros",156.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 2 Terrafértil,5.0,0.009,"terra, enrocamento ou outros",85.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 3 Terrafértil,5.0,0.032,"terra, enrocamento ou outros",152.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 3 Susana Ribeiro e Outros,10.0,0.956,"terra, enrocamento ou outros",250.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 2 Susana Ribeiro,9.0,0.37,"terra, enrocamento ou outros",234.8,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Rubem Noé,8.0,2.35,"terra, enrocamento ou outros",415.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem CBB Vila Boa,8.0,1.455,"terra, enrocamento ou outros",420.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem João Nicolau Albehy,6.0,0.341,"terra, enrocamento ou outros",174.0,aquicultura,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Elson Cascão,12.0,0.556,"terra, enrocamento ou outros",320.0,recreação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Luciano Sanches,4.5,0.296,"terra, enrocamento ou outros",490.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Sadi Secco e Outros,8.0,0.863,"terra, enrocamento ou outros",195.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Audelino Sousa,10.0,2.062,"terra, enrocamento ou outros",242.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barramento 13 Morang,7.5,1.476,"terra, enrocamento ou outros",496.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Juvenor Ferreira,5.5,0.419,"terra, enrocamento ou outros",270.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Pindorama S/A,9.0,0.757,"terra, enrocamento ou outros",450.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem distrito Cirilândia - Prefeitura Santa Isabel,11.0,0.428,"terra, enrocamento ou outros",180.0,recreação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Pública,Não,3.0,,,,,,10,6.0,0.0
Barragem 2 Jalles Machado,7.5,0.681,"terra, enrocamento ou outros",236.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Rubens Sobrinho Prudente,5.0,0.602,"terra, enrocamento ou outros",277.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Georg Lowy,11.0,0.9,"terra, enrocamento ou outros",375.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 2 Fernando Vasconcellos e outros,6.0,0.786,"terra, enrocamento ou outros",250.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Conjunto de 4 Barramentos de Lusenrique Quintal,6.0,1.688,"terra, enrocamento ou outros",330.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 4 Faz. Dois Mil Morang,5.0,0.173,"terra, enrocamento ou outros",254.0,dessedentação animal,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 5 Faz. Dois Mil Morang,5.5,0.192,"terra, enrocamento ou outros",270.0,dessedentação animal,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Rogério Tobias Andrade,10.0,0.502,"terra, enrocamento ou outros",280.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Henrique Gonzatti,7.0,0.993,"terra, enrocamento ou outros",275.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 1 Agropecuária Rio Paraíso,12.5,2.458,"terra, enrocamento ou outros",275.0,regularização de vazão,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 1 Agropecuária Buriti dos Negros,7.0,0.795,"terra, enrocamento ou outros",450.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Vale do Rio Grande Reflorestamento,7.0,1.38,"terra, enrocamento ou outros",330.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem CBB,3.5,1.062,"terra, enrocamento ou outros",815.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 1 Lusenrique Quintal,6.0,3.587,"terra, enrocamento ou outros",437.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 2 Lusenrique Quintal,8.0,3.671,"terra, enrocamento ou outros",458.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 4 Agropecuária Sorgatto,19.0,4.006,"terra, enrocamento ou outros",650.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 3 Agropecuária Sorgatto,14.0,1.013,"terra, enrocamento ou outros",420.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 2 Agropecuária Sorgatto,18.0,2.848,"terra, enrocamento ou outros",460.0,irrigação,,,,,,não confiável ou < 500 anos,não,sim,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,2.0,0.0
Barragem 1 Agropecuária Sorgatto,11.0,1.398,"terra, enrocamento ou outros",290.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem do Mosquito - Votorantim,20.0,2.04,"terra, enrocamento ou outros",290.0,industrial,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Darci Fiorese e Outro,16.0,1.788,"terra, enrocamento ou outros",320.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Agrotri,8.0,5.721,"terra, enrocamento ou outros",529.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem João Pozzobon,6.0,2.47,"terra, enrocamento ou outros",380.0,regularização de vazão,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Luiz Nicola,18.2,2.775,"terra, enrocamento ou outros",350.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Susana Ribeiro e Outros,14.5,0.372,"terra, enrocamento ou outros",328.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Paulo César Chiari e Outro,10.0,0.227,"terra, enrocamento ou outros",175.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Mílcia Caldeira,6.5,0.36,"terra, enrocamento ou outros",205.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Confinamento Banco Pine,5.5,0.557,"terra, enrocamento ou outros",490.0,dessedentação animal,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Produtiva Agropecuária,9.5,1.074,"terra, enrocamento ou outros",334.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Usina Rio Verde,11.0,0.411,"terra, enrocamento ou outros",270.0,industrial,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Márcio Antônio de Oliveira,8.0,0.146,"terra, enrocamento ou outros",190.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 2 Márcio Antônio de Oliveira,9.0,0.187,"terra, enrocamento ou outros",240.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Filemon Malaquias,5.0,0.07,"terra, enrocamento ou outros",150.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 4 Jalles Machado,10.0,1.1,"terra, enrocamento ou outros",483.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,projeto,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Edi Mazzuti,5.0,0.32,"terra, enrocamento ou outros",344.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem B6 Carlos Alberto Oliveira Filho,4.5,0.787,"terra, enrocamento ou outros",233.0,regularização de vazão,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Lírio Grígio,6.0,1.823,"terra, enrocamento ou outros",124.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Sérgio Sessa Stamato,6.0,0.313,"terra, enrocamento ou outros",260.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Aristóteles de Paula,5.5,0.117,"terra, enrocamento ou outros",324.0,aquicultura,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,projeto,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Paulo Gouveia,12.0,0.298,"terra, enrocamento ou outros",350.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,projeto,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Planagri,7.0,0.561,"terra, enrocamento ou outros",350.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 1 Susana Ribeiro,5.0,0.233,"terra, enrocamento ou outros",201.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 3 Jalles Machado,9.0,0.132,"terra, enrocamento ou outros",321.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Caramuru Alimentos,6.0,0.03,"terra, enrocamento ou outros",110.0,industrial,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Ermelindo Gomes,14.5,0.722,"terra, enrocamento ou outros",374.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,projeto,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Cláudio Giroldo,6.5,0.063,"terra, enrocamento ou outros",183.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Alpha,5.0,0.054,"terra, enrocamento ou outros",110.0,industrial,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem B2 Martinho Paludo,14.0,0.43,"terra, enrocamento ou outros",180.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,projeto,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Eduardo Ferlin,10.0,1.643,"terra, enrocamento ou outros",350.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 1 Baltazar Lemes dos Santos,6.0,0.159,"terra, enrocamento ou outros",130.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 2 Baltazar Lemes dos Santos,5.0,0.067,"terra, enrocamento ou outros",140.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Darci Luiz Gatto,8.0,0.866,"terra, enrocamento ou outros",527.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,projeto,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Aparecido José Ferreira,6.0,0.08,"terra, enrocamento ou outros",58.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Marinho do Carmo Silva,4.5,0.019,"terra, enrocamento ou outros",112.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 2 Georg Lowy,8.0,0.044,"terra, enrocamento ou outros",83.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Luiz Antônio de Barros e Outro,11.0,0.639,"terra, enrocamento ou outros",247.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,sim,sim,não,operação,,Particular,Não,3.0,,,,,,10,4.0,0.0
Barragem Celi Carneiro Canedo,4.0,0.049,"terra, enrocamento ou outros",127.0,dessedentação animal,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 1 Ademar José Rosso,11.0,0.267,"terra, enrocamento ou outros",212.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 2 Ademar José Rosso,6.0,0.041,"terra, enrocamento ou outros",102.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem José Heliomar Fernandes,3.8,0.312,"terra, enrocamento ou outros",160.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem da Sede II,7.0,0.078,"terra, enrocamento ou outros",169.0,regularização de vazão,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Cristalina Alimentos,14.0,0.578,"terra, enrocamento ou outros",217.0,irrigação,,,,,,não confiável ou < 500 anos,não,sim,não,sim,não,projeto,,Particular,Não,3.0,,,,,,10,2.0,0.0
Barragem José Carlos Faleiro,6.0,0.038,"terra, enrocamento ou outros",203.0,dessedentação animal,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,projeto,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Eugênio Neto,6.1,0.105,"terra, enrocamento ou outros",212.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Raimundo Augusto,9.0,0.243,"terra, enrocamento ou outros",136.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Milene Vale Almeida,5.0,0.432,"terra, enrocamento ou outros",250.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Ronaldo Alves Barbosa,6.0,0.04,"terra, enrocamento ou outros",139.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 2 Antônio Zucatto,8.0,0.302,"terra, enrocamento ou outros",270.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Alaer Luiz Marques,5.3,0.147,"terra, enrocamento ou outros",236.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 6 Antônio Zucatto,9.0,0.728,"terra, enrocamento ou outros",244.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 5 Antônio Zucatto,20.0,2.869,"terra, enrocamento ou outros",315.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 2 Agropecuária Lagoa Azul,9.0,0.153,"terra, enrocamento ou outros",169.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 4 Agropecuária Lagoa Azul,8.0,0.084,"terra, enrocamento ou outros",128.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 3 Agropecuária Lagoa Azul,9.0,0.078,"terra, enrocamento ou outros",175.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Nilson Nicoli,14.0,0.339,"terra, enrocamento ou outros",230.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,projeto,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Usina São Paulo,8.0,0.084,"terra, enrocamento ou outros",351.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Jocineli Prado e Outros,18.0,0.769,"terra, enrocamento ou outros",298.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,projeto,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 2 Cláudio Giroldo,16.5,0.359,"terra, enrocamento ou outros",253.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Horácio Camargo Lacerda,9.0,0.482,"terra, enrocamento ou outros",422.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Morang e Mateus Mezzalira,6.0,0.839,"terra, enrocamento ou outros",160.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Flávio Gilberto Kist,14.0,4.525,"terra, enrocamento ou outros",310.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Antônio Zucatto,25.0,1.091,"terra, enrocamento ou outros",248.0,irrigação,,,,,,não confiável ou < 500 anos,não,sim,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,2.0,0.0
Barragem Henrique Sakamoto e Outros,6.0,0.591,"terra, enrocamento ou outros",186.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Ivan Gasparetto,15.0,0.956,"terra, enrocamento ou outros",238.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 3 Daniel Finco,11.5,2.068,"terra, enrocamento ou outros",400.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Dirceu Cortez,6.0,0.654,"terra, enrocamento ou outros",400.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Emival Caiado,6.0,1.247,"terra, enrocamento ou outros",644.0,regularização de vazão,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 1 Geraldo Mendonça Júnior,4.4,0.382,"terra, enrocamento ou outros",288.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Henrique Cenci,20.0,3.092,"terra, enrocamento ou outros",613.0,irrigação,,,,,,não confiável ou < 500 anos,não,sim,não,sim,não,projeto,sim,Particular,Não,3.0,,,,,,10,2.0,0.0
Barragem Miriam Zavaschi,17.0,1.057,"terra, enrocamento ou outros",161.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,projeto,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
