Barragem_Nome,Barragem_Altura_AcimaNivelTerreno,Barragem_Capacidade,Barragem_Principal_Tipo_material,Barragem_Principal_comprimento,Uso_principal,Barragem_UF,Barragem_Municipio,Barragem_Categoria_Risco,Barragem_Dano_Potencial_Associado,TemPAE,TemPlanoSeguranca,TemRevisaoPeriodica,TemProjetoExecutivo,TemProjetoComo construido,TemProjetoBasico,TemProjetoConceitual,TemEclusa,Barragem_FasedeVida,ReguladaPNSB,Submetida à algum regulamento?,Houve alguma fiscalização no período deste RSB?
Marechal Dutra (Gargalheiras),26.5,44.42,concreto convencional,180.0,abastecimento humano,RN,Acari,médio,alto,não,não,não,não,não,sim,não,não,operação,sim,Sim,Não
Bonsucesso,10.2,3.2,terra,465.26,abastecimento humano,PB,Sossêgo,médio,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Jaguari,62.0,143.0,terra,860.0,abastecimento humano,SP,Vargem,baixo,alto,sim,sim,sim,não,sim,não,não,não,operação,sim,Sim,Não
Cachoeira,40.0,116.6,terra,310.0,abastecimento humano,SP,Piracaia,baixo,alto,sim,sim,sim,não,sim,não,não,não,operação,sim,Sim,Não
Pai Mané,14.0,2.12,terra,381.0,regularização de vazão,AL,Dois Riachos,médio,alto,não,não,não,não,sim,não,não,não,operação,sim,Sim,Sim
Tremedal,32.0,23.75,terra,414.0,abastecimento humano,BA,Tremedal,médio,alto,não,não,não,não,sim,não,não,não,operação,sim,Sim,Sim
Calabouço,15.7,1.44,terra,260.0,aquicultura,RN,Passa e Fica,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Poty,8.2,1.6,concreto convencional,691.0,abastecimento humano,CE,Crateús,médio,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Descoberto,32.5,85.99,concreto convencional,265.0,abastecimento humano,DF,Brasília,médio,alto,não,sim,sim,sim,não,não,não,não,operação,sim,Sim,Sim
Barragem Águas Claras,8.0,3.9,terra,200.0,regularização de vazão,MG,Caldas,médio,alto,não,não,não,não,não,sim,não,não,operação,sim,Sim,Não
Ipanema I,16.43,1.124,terra,724.59,dessedentação animal,PE,Águas Belas,médio,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Santana de Trairi,13.91,1.64,terra,294.96,irrigação,RN,São Bento do Trairí,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
PCH Atibaia,11.0,2.8,alvenaria,130.0,recreação,SP,Atibaia,médio,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Santa Maria,45.0,84.33,terra,550.0,abastecimento humano,DF,Brasília,médio,alto,não,sim,sim,sim,não,não,não,não,operação,sim,Sim,Sim
Venturosa,27.0,19.9,terra,540.0,regularização de vazão,PE,Venturosa,não se aplica,alto,não,não,não,não,não,sim,não,não,projeto,sim,Sim,Não
Pipiripau,4.0,0.003,concreto convencional,46.4,abastecimento humano,DF,Brasília,médio,médio,não,sim,sim,sim,não,não,não,não,operação,sim,Sim,Sim
Torto,6.0,0.24,terra,212.0,abastecimento humano,DF,Brasília,médio,alto,não,sim,sim,sim,não,não,não,não,operação,sim,Sim,Sim
Jaburu II,16.2,127.66,terra,1054.0,abastecimento humano,CE,Independência,médio,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Nova Algodões,54.0,50.5,concreto compactado a rolo  (ccr),522.5,regularização de vazão,PI,Cocal,não se aplica,alto,não,não,não,não,não,sim,não,não,construção,sim,Sim,Não
Oiticica,35.3,556.3,concreto compactado a rolo  (ccr),3378.8,abastecimento humano,RN,Jucurutu,não se aplica,alto,não,não,não,não,não,sim,não,não,construção,sim,Sim,Não
Fronteiras,36.5,488.18,concreto compactado a rolo  (ccr),1740.0,abastecimento humano,CE,Crateús,não se aplica,alto,não,não,não,não,não,sim,não,não,construção,sim,Sim,Não
Tucutu - PISF,14.8,23.97,terra,2524.0,abastecimento humano,PE,Cabrobó,não se aplica,alto,sim,sim,não se aplica,não,sim,não,não,não,construção,sim,Sim,Sim
Terra Nova - PISF,10.9,8.3,terra,2331.0,abastecimento humano,PE,Cabrobó,não se aplica,alto,sim,sim,não se aplica,não,sim,não,não,não,construção,sim,Sim,Sim
Areias - PISF,14.9,7.65,terra,1000.0,abastecimento humano,PE,Floresta,não se aplica,alto,sim,sim,não se aplica,não,sim,não,não,não,construção,sim,Sim,Sim
Braunas - PISF,37.1,15.17,terra,691.0,abastecimento humano,PE,Floresta,não se aplica,alto,sim,sim,não se aplica,não,sim,não,não,não,construção,sim,Sim,Sim
Mandantes - PISF,21.4,3.82,terra,1550.0,abastecimento humano,PE,Floresta,não se aplica,alto,sim,sim,não se aplica,não,sim,não,não,não,construção,sim,Sim,Sim
Salgueiro - PISF,14.39,4.37,terra,1853.0,abastecimento humano,PE,Floresta,não se aplica,alto,sim,sim,não se aplica,não,sim,não,não,não,construção,sim,Sim,Sim
Muquém - PISF,19.29,3.08,terra,1399.0,abastecimento humano,PE,Floresta,não se aplica,alto,sim,sim,não se aplica,não,sim,não,não,não,construção,sim,Sim,Sim
Cacimba Nova - PISF,13.91,2.7,terra,3966.0,abastecimento humano,PE,Custódia,não se aplica,alto,sim,sim,não se aplica,não,sim,não,não,não,construção,sim,Sim,Sim
Bagres - PISF,13.61,2.25,terra,862.0,abastecimento humano,PE,Custódia,não se aplica,alto,sim,sim,não se aplica,não,sim,não,não,não,construção,sim,Sim,Sim
Copiti - PISF,17.22,6.33,terra,1971.0,abastecimento humano,PE,Custódia,não se aplica,alto,sim,sim,não se aplica,não,sim,não,não,não,construção,sim,Sim,Sim
Moxotó - PISF,13.91,1.42,terra,505.0,abastecimento humano,PE,Sertânia,não se aplica,alto,sim,sim,não se aplica,não,sim,não,não,não,construção,sim,Sim,Sim
Barreiro - PISF,20.7,2.61,terra,721.0,abastecimento humano,PE,Sertânia,não se aplica,alto,sim,sim,não se aplica,não,sim,não,não,não,construção,sim,Sim,Sim
Campos - PISF,18.95,4.79,terra,541.0,abastecimento humano,PE,Sertânia,não se aplica,alto,sim,sim,não se aplica,não,sim,não,não,não,construção,sim,Sim,Sim
Barro Branco - PISF,12.56,0.27,terra,320.0,abastecimento humano,PE,Sertânia,não se aplica,alto,sim,sim,não se aplica,não,sim,não,não,não,construção,sim,Sim,Sim
Pedreira,52.0,38.34,terra-enrocamento,845.0,abastecimento humano,SP,Campinas,não se aplica,alto,não,não,não,sim,não,não,não,não,projeto,sim,Sim,Não
Barragem Piranhas,5.5,0.70851,terra,170.0,aquicultura,AC,Rio Branco,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barragem 76,4.5,0.80338,terra,133.0,aquicultura,AC,Rio Branco,médio,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barragem dos Porcos,5.0,1.170397411,terra,316.0,aquicultura,AC,Rio Branco,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barragem Paulão,6.0,2.763871,terra,255.0,aquicultura,AC,Rio Branco,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barragem Los Angeles_I,5.0,0.959721,terra,315.0,aquicultura,AC,Bujari,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Campo Central_I,5.5,0.5878,terra,300.0,outros,AC,Plácido de Castro,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Ponteio_XVII,6.0,0.2768,terra,130.0,outros,AC,Xapuri,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem JJ ,5.0,1.019314228,terra,223.0,aquicultura,AC,Bujari,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barragem JJ_I,4.5,0.04224,terra,92.0,aquicultura,AC,Bujari,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem JJ_II,5.0,0.105952,terra,171.0,aquicultura,AC,Bujari,médio,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barragem JJ_III,4.5,0.169193,terra,171.5,aquicultura,AC,Bujari,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barragem JJ_IV,7.0,0.46558,terra,229.0,aquicultura,AC,Bujari,médio,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barragem JJ_V,5.0,0.060204,terra,105.5,aquicultura,AC,Bujari,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem JJ_VI,6.0,0.762962,terra,248.0,aquicultura,AC,Bujari,médio,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barragem Três meninas_I,5.0,0.683253927,terra,117.0,aquicultura,AC,Xapuri,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Canary_I,5.0,0.716049365,terra,235.0,outros,AC,Bujari,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Cipoal_ I,6.0,0.7521373514,terra,173.0,outros,AC,Rio Branco,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Ouro Branco_I,5.0,0.705957755,terra,190.0,outros,AC,Epitaciolândia,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barragem Vaca Branca_I,5.0,0.722870898,terra,139.0,outros,AC,Xapuri,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem da Hidrelétrica,6.0,0.8574495401,terra,150.0,aquicultura,AC,Cruzeiro do Sul,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Sinuelo_I,5.5,1.0167989631,terra,180.0,aquicultura,AC,Rio Branco,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Bambuí_I,5.0,0.021175,terra,86.0,aquicultura,AC,Bujari,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Bambuí_II,5.0,0.03611,terra,106.0,aquicultura,AC,Bujari,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Bambuí_III,6.0,0.09569,terra,157.0,aquicultura,AC,Bujari,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Bambuí_IV,3.5,0.085943,terra,178.0,aquicultura,AC,Bujari,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Chocolate,5.0,0.13096,terra,84.0,outros,AC,Bujari,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
