Barragem_Nome,Barragem_Altura_AcimaNivelTerreno,Barragem_Capacidade,Barragem_Principal_Tipo_material,Barragem_Principal_comprimento,Uso_principal,Barragem_UF,Barragem_Municipio,Barragem_Categoria_Risco,Barragem_Dano_Potencial_Associado,TemPAE,TemPlanoSeguranca,TemRevisaoPeriodica,TemProjetoExecutivo,TemProjetoComo construido,TemProjetoBasico,TemProjetoConceitual,TemEclusa,Barragem_FasedeVida,ReguladaPNSB,Submetida à algum regulamento?,Houve alguma fiscalização no período deste RSB?
BARRAGEM 03,1.5,0.001,terra,150.0,dessedentação animal,DF,BRASÍLIA,não se aplica,baixo,não,não,não,não,não,não,não,não,operação,não,Não,Não
BARRAGEM 01,5.0,0.002,terra,113.67,recreação,DF,BRASÍLIA,não se aplica,baixo,não,não,não,não,não,não,não,não,operação,não,Não,Não
FAZENDA DONA NOQUINHA II,6.0,0.01,terra,107.68,irrigação,DF,BRASÍLIA,não se aplica,baixo,não,não,não,não,não,não,não,não,operação,não,Não,Não
FAZENDA PARAÍSO 1,4.9,0.006,terra,55.0,dessedentação animal,DF,BRASÍLIA,não se aplica,baixo,não,não,não,não,não,não,não,não,operação,não,Não,Não
FAZENDA PARAÍSO 2,5.2,0.007,terra,59.0,dessedentação animal,DF,BRASÍLIA,não se aplica,baixo,não,não,não,não,não,não,não,não,operação,não,Não,Não
BARRAGEM,2.4,0.0004,terra,29.0,irrigação,DF,BRASÍLIA,não se aplica,baixo,não,não,não,não,não,não,não,não,operação,não,Não,Não
FAZENDA BARRA ALTA - R3,3.5,0.2,terra,110.0,irrigação,DF,BRASÍLIA,não se aplica,baixo,não,não,não,não,não,não,não,não,operação,não,Não,Não
BARRAGEM DO CATETINHO BAIXO 2,2.15,0.002,concreto convencional,8.75,abastecimento humano,DF,BRASÍLIA,não se aplica,baixo,não,não,não,sim,sim,sim,sim,não,inativa,não,Não,Não
BARRAGEM 01,2.4,7.7e-05,concreto convencional,20.0,irrigação,DF,BRASÍLIA,não se aplica,baixo,não,não,não,não,não,não,não,não,operação,não,Não,Não
BARRAGEM 01,2.0,0.001,outro,13.0,dessedentação animal,DF,BRASÍLIA,não se aplica,baixo,não,não,não,não,não,não,não,não,operação,não,Não,Não
BARRAGEM 01,1.23,0.0002,terra,13.2,irrigação,DF,BRASÍLIA,não se aplica,baixo,não,não,não,não,não,não,não,não,operação,não,Não,Não
BARRAGEM,2.4,0.0002,terra,8.0,irrigação,DF,BRASÍLIA,não se aplica,baixo,não,não,não,não,não,não,não,não,operação,não,Não,Não
BARRAGEM 01,4.0,0.004,terra,83.83,aquicultura,DF,BRASÍLIA,não se aplica,baixo,não,não,não,não,não,não,não,não,operação,não,Não,Não
BARRAGEM LA SALLE,1.9,7.3e-05,outro,7.6,irrigação,DF,BRASÍLIA,não se aplica,baixo,não,não,não,não,não,não,não,não,operação,não,Não,Não
sem denominação,2.0,0.021945,terra,83.0,dessedentação animal,MS,Jaraguari,baixo,baixo,não,não,não,sim,não,não,não,não,operação,não,Sim,Não
Vaca Branca,6.5,0.723426,terra,380.0,irrigação,MS,Naviraí,baixo,baixo,não,não,não,sim,não,não,não,não,operação,não,Sim,Não
NSA,4.0,0.014137,terra,153.0,irrigação,MS,Naviraí,baixo,baixo,não,não,não,sim,não,não,não,não,operação,não,Sim,Não
sem denominação,4.0,0.22502,terra,240.0,irrigação,MS,Ivinhema,médio,baixo,não,não,não,sim,sim,não,não,não,operação,não,Sim,Não
Barragem do Jacarezinho,3.2,0.179802,terra,413.0,irrigação,MS,Deodapolis,médio,baixo,não,não,não,sim,não,não,não,não,operação,não,Sim,Não
Barragem Reconquista,4.0,0.059392,terra,87.0,irrigação,MS,Jatei,baixo,baixo,não,não,não,sim,não,não,não,não,operação,não,Sim,Não
RESERVATÓRIO 12,4.52,1.1547,terra,254.0,aquicultura,MT,ROSÁRIO OESTE,não se aplica,baixo,não,não,não,não,sim,não,não,não,operação,não,Sim,Não
RESERVATÓRIO 13,4.85,2.0205,terra,420.0,aquicultura,MT,ROSÁRIO OESTE,não se aplica,baixo,não,não,não,não,sim,não,não,não,operação,não,Sim,Não
RESERVATÓRIO 27,3.9,1.0989,terra,470.0,aquicultura,MT,ROSÁRIO OESTE,não se aplica,baixo,não,não,não,não,sim,não,não,não,operação,não,Sim,Não
RESERVATÓRIO 28,4.45,0.8208,terra,320.0,aquicultura,MT,ROSÁRIO OESTE,não se aplica,baixo,não,não,não,não,sim,não,não,não,operação,não,Sim,Não
RESERVATÓRIO 29,3.3,0.4455,terra,400.0,aquicultura,MT,ROSÁRIO OESTE,não se aplica,baixo,não,não,não,não,sim,não,não,não,operação,não,Sim,Não
Barragem da Fazenda Rio Verde,8.0,1.16812851,terra,445.0,irrigação,MT,SORRISO,médio,alto,não,não,não,não,sim,não,não,não,operação,sim,Sim,Não
Reservatório 01,2.5,0.864,terra,300.0,aquicultura,MT,NOVA OLÍMPIA,não se aplica,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
Reservatório 02,4.2,0.137808,terra,180.0,aquicultura,MT,NOVA OLÍMPIA,não se aplica,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
Reservatório 03,4.1,0.44608,terra,320.0,aquicultura,MT,NOVA OLÍMPIA,não se aplica,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
Reservatório 04 / 05 / 13,3.1,0.567323,terra,218.0,aquicultura,MT,NOVA OLÍMPIA,não se aplica,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
Reservatório 06 / 10 / 11,3.0,1.07024,terra,438.0,aquicultura,MT,NOVA OLÍMPIA,não se aplica,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
Reservatório 07 / 08 / 09,3.1,0.56836,terra,366.0,aquicultura,MT,NOVA OLÍMPIA,não se aplica,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
Reservatório 12,2.0,0.076875,terra,150.0,aquicultura,MT,NOVA OLÍMPIA,não se aplica,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
Barragem 01,10.0,0.458,terra,229.0,aquicultura,MT,Nossa Senhora do Livramento,não se aplica,baixo,não,não,não,não,sim,não,não,não,operação,não,Sim,Não
Barragem 02,6.0,0.08596,terra,307.0,aquicultura,MT,Nossa Senhora do Livramento,não se aplica,baixo,não,não,não,não,sim,não,não,não,operação,não,Sim,Não
Barragem 03,8.0,0.306306,terra,286.0,aquicultura,MT,Nossa Senhora do Livramento,não se aplica,baixo,não,não,não,não,sim,não,não,não,operação,não,Sim,Não
Barragem 04,2.3,0.018,terra,106.0,aquicultura,MT,Nossa Senhora do Livramento,não se aplica,baixo,não,não,não,não,sim,não,não,não,operação,não,Sim,Não
Barragem 05,2.3,0.06705,terra,85.0,aquicultura,MT,Nossa Senhora do Livramento,não se aplica,baixo,não,não,não,não,sim,não,não,não,operação,não,Sim,Não
Barragem 06,2.3,0.02484,terra,185.0,aquicultura,MT,Nossa Senhora do Livramento,não se aplica,baixo,não,não,não,não,sim,não,não,não,operação,não,Sim,Não
Barragem 05,3.5,0.0392,terra,114.0,aquicultura,MT,Barra do Bugres,não se aplica,baixo,não,não,não,não,sim,não,não,não,operação,não,Sim,Não
Barragem 06,5.0,0.0882,terra,102.0,aquicultura,MT,Barra do Bugres,não se aplica,baixo,não,não,não,não,sim,não,não,não,operação,não,Sim,Não
Barragem 07,5.0,0.0882,terra,120.0,aquicultura,MT,Barra do Bugres,não se aplica,baixo,não,não,não,não,sim,não,não,não,operação,não,Sim,Não
Sitio Pica Pau,4.5,0.07125,terra,125.0,aquicultura,MT,Tangará da Serra,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Lagoa 02,6.1,0.04021508,terra,109.0,irrigação,MT,Nova Mutum,não se aplica,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
Lagoa 04,3.9,0.034018,terra,111.0,irrigação,MT,Nova Mutum,não se aplica,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
1,6.0,0.4250234,terra,165.0,irrigação,MT,Nova Mutum,não se aplica,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
2,5.0,0.1146992,terra,225.0,irrigação,MT,Nova Mutum,não se aplica,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
3,5.5,0.032449900000000004,terra,120.0,irrigação,MT,Nova Mutum,não se aplica,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
1,10.6,0.452152,terra,380.0,irrigação,MT,Primavera do Leste,não se aplica,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
2,6.6,0.1213789,terra,205.0,irrigação,MT,Primavera do Leste,não se aplica,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
3,13.5,0.6873311999999999,terra,290.0,irrigação,MT,Primavera do Leste,não se aplica,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
4,6.5,0.043197099999999995,terra,133.0,irrigação,MT,Primavera do Leste,não se aplica,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
B,6.0,0.0494,terra,120.0,outros,PE,Caruaru,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
A,6.0,0.01226,alvenaria,30.0,outros,PE,Caruaru,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Camurim,10.2,0.216,terra,50.0,irrigação,PE,Goiana,médio,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Jacarapina,18.0,0.56,terra,50.0,irrigação,PE,Itaquitinga,médio,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Água Branca,8.0,2.35451,terra,353.0,abastecimento humano,PE,Petrolina,alto,médio,não,não,não,não,não,sim,não,não,operação,sim,Sim,Não
Algodoes,9.44,0.40736,terra,295.0,abastecimento humano,PE,Cabrobo,alto,médio,não,não,não,não,não,sim,não,não,operação,sim,Sim,Não
Almas,6.0,3.8,terra,220.0,combate às secas,PE,Petrolina,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Angico,9.6,3.24,terra,280.0,combate às secas,PE,Itacuruba,alto,baixo,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Baixa Verde,5.2,0.8,terra,96.2,sem informação,PE,Petrolina,baixo,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barra Franca,15.5,6.0,terra,256.0,combate às secas,PE,Petrolina,alto,baixo,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barreiro,8.0,0.7,terra,260.0,sem informação,PE,Petrolina,baixo,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Batatas,8.0,0.7,terra,270.0,sem informação,PE,São José do Egito,baixo,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Bom Jardim,13.5,4.8,enrocamento,249.4,combate às secas,PE,Santa Filomena,médio,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Bom Viver,16.6,4.2,terra,530.0,combate às secas,PE,Belém de São Francisco,alto,baixo,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Brejo,9.1,2.5,terra,181.0,sem informação,PE,Santa Cruz,alto,baixo,não,não,não,não,não,sim,não,não,operação,sim,Sim,Não
Cachimbo,26.5,32.0,terra,695.0,combate às secas,PE,Parnamirim,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Cacimba Velha,6.2,0.52,terra,332.0,abastecimento humano,PE,Petrolina,baixo,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Caiçara,14.3,10.5,terra,517.0,combate às secas,PE,Parnamirim,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Cal,7.6,0.45,terra,132.0,sem informação,PE,Lagoa Grande,baixo,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Calmaria,9.5,2.0,terra,170.0,sem informação,PE,Lagoa Grande,baixo,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
Camará,17.6,5.3,terra,368.5,combate às secas,PE,Bodocó,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Chico Velho,5.5,2.6,terra,200.0,sem informação,PE,Dormentes,baixo,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
Contendas,12.0,1.5,terra,155.0,sem informação,PE,Lagoa Grande,baixo,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
Garcinha (Coincide com  a Barragem Saco II  do DNOCS),5.0,0.9,terra,85.0,sem informação,PE,Santa Maria da Boa Vista,baixo,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
Girau,7.0,0.85,terra,102.0,sem informação,PE,Petrolina,baixo,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Juá I,12.5,6.3,terra,273.0,combate às secas,PE,Cabrobo,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Juá II,12.5,3.5,alvenaria,287.55,combate às secas,PE,Mirandiba,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Manoel Rodrigues,8.5,4.8,terra,295.0,combate às secas,PE,Cabrobo,alto,alto,não,não,não,não,não,sim,não,não,operação,sim,Sim,Não
Monte Alegre,9.0,1.65,terra,187.5,sem informação,PE,Afrânio,baixo,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Monte Alegre,15.4,8.5,terra,250.0,combate às secas,PE,Floresta,alto,baixo,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Morros,12.5,1.86,terra,255.0,irrigação,PE,Dormentes,baixo,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Murici,8.0,3.3,terra,256.0,combate às secas,PE,Cabrobo,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Paus Grandes,3.5,0.3,alvenaria,39.0,sem informação,PE,Exu,baixo,baixo,não,não,não,não,não,sim,não,não,sem informação,não,Sim,Não
Pereiro,18.5,10.0,terra,555.0,combate às secas,PE,Petrolina,alto,baixo,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Pontal,11.5,1.8,terra,225.0,sem informação,PE,Afrânio,baixo,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Quixada,8.0,18.0,terra,150.0,abastecimento humano,PE,Belém de São Francisco,alto,baixo,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Riacho da Porta,16.1,6.5,terra,845.0,combate às secas,PE,Belém de São Francisco,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Riacho dos Cavalos,12.4,3.9,terra,260.0,combate às secas,PE,Parnamirim,alto,baixo,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Riacho Pequeno,8.0,3.8,terra,580.0,combate às secas,PE,Belém de São Francisco,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
São José da Tapera,11.5,4.36,terra,212.5,combate às secas,PE,Belém de São Francisco,alto,baixo,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Simão,8.5,5.87,terra,320.0,combate às secas,PE,Petrolina,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Sitio Lambedor,2.5,6.0,alvenaria,114.0,sem informação,PE,Lagoa Grande,baixo,baixo,não,não,não,não,não,sim,não,não,operação,sim,Sim,Não
Toco Preto,4.5,0.9,terra,165.0,sem informação,PE,Petrolina,baixo,baixo,não,não,não,não,não,sim,não,não,operação,não,Sim,Não
Tranqueira,8.0,3.0,terra,200.0,combate às secas,PE,Dormentes,alto,baixo,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Umburana,6.5,0.74,alvenaria,160.0,sem informação,PE,Santa Maria da Boa Vista,baixo,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Volta do Riacho,6.5,3.0,terra,245.0,combate às secas,PE,Petrolina,médio,baixo,não,não,não,não,não,sim,não,não,operação,sim,Sim,Não
Algodoes,16.7,54.481874,terra-enrocamento,610.0,irrigação,PE,Ouricuri,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barrinha,11.01,1.959976,terra-enrocamento,175.0,abastecimento humano,PE,Cedro,baixo,baixo,não,não,não,não,não,não,não,não,sem informação,não,Sim,Não
Bonitinho Novo,10.0,1.83639,terra,150.0,sem informação,PE,Bonito,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Botafogo,27.0,27.689504,terra-enrocamento,230.0,abastecimento humano,PE,Igarassu,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Brotas,17.3,19.639577,alvenaria,569.0,abastecimento humano,PE,Afogados da Ingazeira,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Carpina,39.0,270.0,terra,1720.0,outros,PE,Lagoa do Carro,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Cursaí,14.0,12.8,terra,119.0,abastecimento humano,PE,Paudalho,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Duas Unas,18.6,24.2,terra,200.0,abastecimento humano,PE,Jaboatão dos Guararapes ,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Eng. Gercino Pontes,19.5,13.6,terra,373.0,abastecimento humano,PE,Caruaru,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Engenho Maranhão,24.0,52.925,concreto compactado a rolo  (ccr),370.0,abastecimento humano,PE,Ipojuca/Escada,baixo,baixo,não,não,não,não,não,não,não,não,projeto,sim,Sim,Não
Goitá,27.0,52.9,concreto convencional,160.0,outros,PE,Paudalho/S.Lourenco Mata,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Guararema,28.0,18.0,concreto convencional,160.0,abastecimento humano,PE,Itambé,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Gurjão,17.0,3.847,terra,490.0,abastecimento humano,PE,Capoeiras,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Jaime Nejaim,14.6,0.6,alvenaria,80.0,abastecimento humano,PE,Caruaru,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Machado,19.5,14.637,concreto compactado a rolo  (ccr),670.0,abastecimento humano,PE,Brejo da Madre de Deus,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Pão de Açúcar,39.0,34.2306,terra-enrocamento,640.0,abastecimento humano,PE,Pesqueira,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Pau Ferro,32.61,12.17495,concreto compactado a rolo  (ccr),100.0,abastecimento humano,PE,Quipapá,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Pedra Fina,28.5,6.5,terra,230.0,abastecimento humano,PE,Bom Jardim,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Pedro Moura Jr.,43.0,29.0,concreto compactado a rolo  (ccr),440.0,abastecimento humano,PE,Belo Jardim,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Pirapama,24.5,60.937,concreto compactado a rolo  (ccr),195.0,abastecimento humano,PE,Cabo de Santo Agostinho,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Poço Fundo,17.28,27.75,terra,115.0,abastecimento humano,PE,Santa Cruz do Capibaribe,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Prata,26.0,41.9,concreto compactado a rolo  (ccr),405.0,abastecimento humano,PE,Bonito,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Sicupema,12.0,3.2,terra,210.0,regularização de vazão,PE,Cabo de Santo Agostinho,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Siriji,11.2,17.26,concreto compactado a rolo  (ccr),100.0,abastecimento humano,PE,Vicência,médio,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Tapacurá,30.5,94.2,concreto convencional,290.0,abastecimento humano,PE,São Lourenço da Mata,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Taquara,15.0,1.347136,terra,312.0,abastecimento humano,PE,Caruaru,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Tiúma,16.04,6.109159,concreto compactado a rolo  (ccr),132.0,abastecimento humano,PE,Timbauba,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Utinga,25.0,10.426047,terra,200.0,abastecimento humano,PE,Cabo de Santo Agostinho,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Várzea do Una,26.0,11.56801,terra,136.0,abastecimento humano,PE,São Lourenço da Mata,alto,baixo,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Gurjaú,10.0,3.2,concreto convencional,130.0,abastecimento humano,PE,Cabo de Santo Agostinho,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Abóboras,15.5,14.35,terra,260.5,abastecimento humano,PE,Parnamirim,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Araripina,19.0,3.70223,terra,130.0,combate às secas,PE,Araripina,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Arcoverde,32.79,16.8,terra,635.0,abastecimento humano,PE,Pedra,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Arrodeio,15.2,14.5,terra,748.5,combate às secas,PE,São José do Belmonte,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barra,17.8,2.73816,terra,411.7,abastecimento humano,PE,Sertânia,alto,baixo,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barra do Juá,23.5,71.4,terra,458.0,irrigação,PE,Floresta,médio,médio,não,não,não,sim,não,não,não,não,operação,sim,Sim,Não
Boa Vista,23.0,16.44845,terra,225.0,irrigação,PE,Salgueiro,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Bonito Grande,7.3,0.85,alvenaria,163.0,abastecimento humano,PE,Bonito,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Cachoeira II,30.1,21.031145,alvenaria,116.0,abastecimento humano,PE,Serra Talhada,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Cajarana,14.5,2.59428,terra,304.0,abastecimento humano,PE,Garanhuns,baixo,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Cruzeiro,11.2,0.503405,terra,230.0,abastecimento humano,PE,São José do Belmonte,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Custódia,21.25,21.6321,terra,856.0,abastecimento humano,PE,Custódia,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Eng. Camacho,15.5,27.66,terra,620.0,combate às secas,PE,Ouricuri,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Eng. Severino Guerra,24.0,15.0,terra,225.0,combate às secas,PE,Belo Jardim,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Entremontes,29.5,339.3337,terra,990.0,irrigação,PE,Parnamirim,médio,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Guilherme Azevedo,15.4,0.766,terra,96.0,abastecimento humano,PE,Caruaru,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Ingazeira*,25.0,48.728,concreto compactado a rolo  (ccr),618.86,abastecimento humano,PE,Ingazeira,baixo,alto,não,não,não,não,não,não,não,não,construção,sim,Sim,Não
Jucazinho,63.2,327.035812,concreto compactado a rolo  (ccr),442.0,abastecimento humano,PE,Surubim/ Cumaru,alto,alto,sim,não,não,sim,sim,sim,sim,não,operação,sim,Sim,Não
Lopes II,15.7,23.93536,terra,950.0,irrigação,PE,Bodocó,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Mororó,23.7,2.929682,terra,524.0,abastecimento humano,PE,Pedra,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Mundau I,16.3,1.9686,terra,315.6,abastecimento humano,PE,Garanhuns,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Parnamirim,9.5,5.715,terra,485.0,combate às secas,PE,Parnamirim,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Pau Branco,19.4,3.0,terra,260.0,combate às secas,PE,Afrânio,alto,baixo,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Poço da Cruz,45.0,504.0,enrocamento,420.0,irrigação,PE,Ibimirim,médio,alto,não,não,não,sim,não,sim,não,não,operação,sim,Sim,Não
Quebra Unhas,14.5,3.19,terra,38.0,combate às secas,PE,Floresta,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Rosário,19.9,34.99,terra,705.0,abastecimento humano,PE,Iguaraci,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Saco I,30.5,36.0,alvenaria,65.0,combate às secas,PE,Serra Talhada,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Saco II,29.0,125.524,terra,460.0,combate às secas,PE,Santa Maria da Boa Vista,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Salgueiro,14.9,14.6982,terra,174.0,irrigação,PE,Salgueiro,médio,médio,não,não,não,sim,não,não,não,não,operação,sim,Sim,Não
São Caetano,14.6,0.3783,concreto ciclópico,67.8,abastecimento humano,PE,São Caetano,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Serra dos Cavalos,10.0,0.612,terra,100.0,abastecimento humano,PE,Caruaru,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Serrinha,37.0,311.08,terra,1350.0,regularização de vazão,PE,Serra Talhada,médio,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Terra Nova,10.1,1.22,terra,440.0,sem informação,PE,Petrolina,alto,baixo,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Vertente do Heráclito,19.6,0.3657,terra,108.0,abastecimento humano,PE,Casinhas,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Vira Beiju,15.2,11.8,terra,519.0,abastecimento humano,PE,Petrolina,médio,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Açude da Nação,12.0,0.2631,terra,270.0,abastecimento humano,PE,Bom Conselho,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barragem de terra Sitio Barriguda,11.0,0.336,terra,235.0,abastecimento humano,PE,Caetes,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barra Nova,12.0,0.0333,terra,47.8,abastecimento humano,PE,Iati,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barra do Chapeu,8.3,1.6,outro,73.0,sem informação,PE,Cabrobo,baixo,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Brejao,12.1,1.625,terra,155.0,abastecimento humano,PE,Saire,baixo,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Cocos,11.5,1.8876,terra,218.0,irrigação,PE,Parnamirim,baixo,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Eixo da Serra,10.5,1.637808,alvenaria,60.0,irrigação,PE,Custódia,baixo,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Ipaneminha,18.5,3.9,terra,428.0,abastecimento humano,PE,Pesqueira,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Manuino,14.0,2.021,terra,260.0,abastecimento humano,PE,Bezerros,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Matriz da Luz,11.0,1.25,terra,171.0,irrigação,PE,São Lourenço da Mata,alto,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Mulungu,16.2,1.280953,terra,396.0,abastecimento humano,PE,Buique,baixo,baixo,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
