username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
El_7usseny,,طب سريعاً كدا فيه غفلة من رجال الأمن أحب أتكلم شويه عن الـBrexit اللي هو انفصال المملكة المتحدة UK عن الاتحاد الأوروبي في ثريد صغير,2,12,1,1105619479478845441,https://twitter.com/El_7usseny/status/1105619479478845441,551337247,2019-03-12 23:59:59+00:00,Tue Mar 12 23:59:59 +0000 2019,,,,
michael_b28,,"@heuteshow ist das eigentlich richtig, dass der simulierte Angriff auf den EU Luftraum gestern Abend durch TUIfly mit #737MAX8 eine Aktionskunst zur Verhinderung des #Brexit war?",0,0,0,1105619476047953928,https://twitter.com/michael_b28/status/1105619476047953928,4710356447,2019-03-12 23:59:59+00:00,Tue Mar 12 23:59:59 +0000 2019,#737MAX8 #Brexit,@heuteshow,,
repnews,repnews,"Listen to this. What is Britain's ""fundamental interest"" in Ireland? If they answer that first, then they can figure out the border, then they can figure out Brexit. ",1,6,0,1105619470641446912,https://twitter.com/repnews/status/1105619470641446912,58492850,2019-03-12 23:59:57+00:00,Tue Mar 12 23:59:57 +0000 2019,,,,https://twitter.com/repnews/status/1105526190230654982
Lusa_noticias,,Portugal prepara-se para cenário do 'Brexit' sem acordo que é “hoje mais possível” - MNE - https://www.lusa.pt/article/25807673,0,4,1,1105619456565395458,https://twitter.com/Lusa_noticias/status/1105619456565395458,94081671,2019-03-12 23:59:54+00:00,Tue Mar 12 23:59:54 +0000 2019,,,,https://www.lusa.pt/article/25807673
themarketsniper,,"Parliament’s rejection of Mrs. May’s deal shifts the focus to a vote scheduled for Wednesday on whether to oppose leaving without a deal - WATCH TOMORROW'S BETRAYAL OF REAL BREXIT, AS MAJORITY VOTE AGAINST NO DEAL EXIT. 99% CERTAIN OF IT. @TheResetSniper @DollarVigilante",2,11,1,1105619455739158529,https://twitter.com/themarketsniper/status/1105619455739158529,35286493,2019-03-12 23:59:54+00:00,Tue Mar 12 23:59:54 +0000 2019,,@TheResetSniper @DollarVigilante,,
MikeGargett,PaulOnBooks,now i have sunk brexit i am going to go on the maiden voyage of titanic,0,0,0,1105619453545533440,https://twitter.com/MikeGargett/status/1105619453545533440,455798721,2019-03-12 23:59:53+00:00,Tue Mar 12 23:59:53 +0000 2019,,,,
TruthSeek200,,"""Theresa May"" is an ineffective Prime Minister & her handling of #Brexit has been an utter disgrace to the People of the United Kingdom; the People of the UK voted to LEAVE the European Union - not make a deal - and Ms. May seems unable to understand how to deliver that promise.",0,0,0,1105619453511942147,https://twitter.com/TruthSeek200/status/1105619453511942147,932703588849106944,2019-03-12 23:59:53+00:00,Tue Mar 12 23:59:53 +0000 2019,#Brexit,,,
NYtitanic1999,JamesCranworth,The Telegraph: Eurostar announces delays and cancellations in Paris as French customs officials strike over Brexit. ,0,0,0,1105619451100180480,https://twitter.com/NYtitanic1999/status/1105619451100180480,745642144229097472,2019-03-12 23:59:53+00:00,Tue Mar 12 23:59:53 +0000 2019,,,,https://www.telegraph.co.uk/news/2019/03/11/eurostar-announces-delays-cancellations-paris-french-customs/
andrewsibley15,StevePu95933565,"The EU was nothing to do with that, and brexit will make your being treated like shit much much worse. Why would anyone vote for that?",0,0,1,1105619450919878656,https://twitter.com/andrewsibley15/status/1105619450919878656,841665348927705088,2019-03-12 23:59:53+00:00,Tue Mar 12 23:59:53 +0000 2019,,,,
AndrewJMullen,JuliaHB1,May really needs to go now. & if Tories STILL think they ought to run their party with ANOTHER Remainer WHILST officially saying theyre “committed to a brexit the public wants/expects” (ie lying) then they shld SPLIT. Its LEAVErs cant stay bound to ppl driven by this Remain BS,0,2,0,1105619448990482432,https://twitter.com/AndrewJMullen/status/1105619448990482432,68412451,2019-03-12 23:59:52+00:00,Tue Mar 12 23:59:52 +0000 2019,,,,
