username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
brexit_clock,,"WOW - Another Brexit extension - time now until 31st October 2019 : 184 days, 21 hours, 59 minutes and 59 seconds #BREXIT #BREXITCLOCK #CLOCK #EU #EUREF #LEAVE",0,0,0,1123014094519447552,https://twitter.com/brexit_clock/status/1123014094519447552,931571397280845824,2019-04-29 23:59:59+00:00,Mon Apr 29 23:59:59 +0000 2019,#BREXIT #BREXITCLOCK #CLOCK #EU #EUREF #LEAVE,,,
RBryan275,LenMcCluskey,"Brexit is dead Len, wake up",0,3,0,1123014061157965827,https://twitter.com/RBryan275/status/1123014061157965827,2528694245,2019-04-29 23:59:51+00:00,Mon Apr 29 23:59:51 +0000 2019,,,,
brexit_betrayed,BrexitBetrayed,Let us go then you prick! Kick us out! Please!,0,3,0,1123013997987545088,https://twitter.com/brexit_betrayed/status/1123013997987545088,243798443,2019-04-29 23:59:36+00:00,Mon Apr 29 23:59:36 +0000 2019,,,,
daaain,daaain,"While at the same time the Rees-Moggs and Farages will handsomely profit from all the disruption Brexit will bring. I don't think the EU is the best thing ever, not at all, but being a medium sized country outside of a regional alliance won't be a great position to be in...",0,0,0,1123013996658024448,https://twitter.com/daaain/status/1123013996658024448,18846827,2019-04-29 23:59:36+00:00,Mon Apr 29 23:59:36 +0000 2019,,,,
shahbazaka786,Change_Britain,Saying something and doing something r 2 different things the establishment never wanted brexit which means they will do anything to STOP BREXIT,0,0,0,1123013995244474369,https://twitter.com/shahbazaka786/status/1123013995244474369,756151514318696449,2019-04-29 23:59:35+00:00,Mon Apr 29 23:59:35 +0000 2019,,,,
theelatestnews,,Brexit: Guy Verhofstadt says EU ‘will never accept’ Theresa May’s plan to hike tuition fees for European students - The Independent-,0,0,0,1123013973585092608,https://twitter.com/theelatestnews/status/1123013973585092608,808715419892797440,2019-04-29 23:59:30+00:00,Mon Apr 29 23:59:30 +0000 2019,,,,https://www.independent.co.uk/news/uk/politics/theresa-may-tutition-fees-eu-students-brexit-international-verhofstadt-a8891261.html
OHATyoutube,cliodiaspora,"Utterly ridiculous Tweet. Corbyn isn't even slightly to blame for Brexit; he is literally not responsible for it in the slightest. He isn't the Prime Minister (yet). He has no power to stop Brexit, even if he wanted to. The Tories are 100% responsible for Brexit. ",1,0,0,1123013931830861824,https://twitter.com/OHATyoutube/status/1123013931830861824,54310289,2019-04-29 23:59:20+00:00,Mon Apr 29 23:59:20 +0000 2019,,,,https://twitter.com/cliodiaspora/status/1122464534306930688
OHATyoutube,cliodiaspora,"Utterly ridiculous Tweet. Corbyn isn't even slightly to blame for Brexit; he is literally not responsible for it in the slightest. He isn't the Prime Minister (yet). He has no power to stop Brexit, even if he wanted to. The Tories are 100% responsible for Brexit.",6,26,1,1123013913593942017,https://twitter.com/OHATyoutube/status/1123013913593942017,54310289,2019-04-29 23:59:16+00:00,Mon Apr 29 23:59:16 +0000 2019,,,,
PropertySpot,tempora_magda,"That depends what we negotiate. There is an argument for a soft Brexit, followed by the dissolution of the UK with Scotland rejoining and then England and Wales being asked the question of EU membership again.",0,2,1,1123013842286579714,https://twitter.com/PropertySpot/status/1123013842286579714,1370017848,2019-04-29 23:58:59+00:00,Mon Apr 29 23:58:59 +0000 2019,,,,
simonwilson2304,SKinnock,"When will Labour realise that most Leavers are Tory voters, so it has little to lose by opposing Brexit. Leavers have already chosen a vote for the few not the many, so there's zero chance they're going to support a party that wants more fairness, equality and social justice.",0,0,0,1123013718575435776,https://twitter.com/simonwilson2304/status/1123013718575435776,714799059815497732,2019-04-29 23:58:29+00:00,Mon Apr 29 23:58:29 +0000 2019,,,,
o_stone,SnStell,Brexit= Britain leaves th European Union. Blexit= Blacks leave the democrat party. Both are excellent hopes and missions.,0,1,1,1123013704889589761,https://twitter.com/o_stone/status/1123013704889589761,884155109902622720,2019-04-29 23:58:26+00:00,Mon Apr 29 23:58:26 +0000 2019,,,,
mrjoelclark,GloriaDePiero,"The sheer desperation to keep her seat, no matter what harm Brexit does to her constituents, is almost palpable. ",1,0,0,1123013691522387968,https://twitter.com/mrjoelclark/status/1123013691522387968,288357228,2019-04-29 23:58:23+00:00,Mon Apr 29 23:58:23 +0000 2019,,,,https://twitter.com/GloriaDePiero/status/1122428998045319168
OHATyoutube,cliodiaspora,"But you are wrong. Corbyn has had literally no say in Brexit. He isn't in government; he has no power to stop Brexit, and nor should he. ",0,2,0,1123013685683814400,https://twitter.com/OHATyoutube/status/1123013685683814400,54310289,2019-04-29 23:58:21+00:00,Mon Apr 29 23:58:21 +0000 2019,,,,https://twitter.com/cliodiaspora/status/1122510056715640832
adejoode,,".@santanderuk I want to report CEO fraud, however your report page tell's me: Access Denied You don't have permission to access ""http://www.santander.co.uk/personal/support/fraud-and-security/how-to-report-fraud"" on this server. Reference #18.544f655f.1556582150.c162dd So ppl outside the UK cannot report fraud? You are #Brexit ready?",0,0,1,1123013675827249152,https://twitter.com/adejoode/status/1123013675827249152,37472533,2019-04-29 23:58:19+00:00,Mon Apr 29 23:58:19 +0000 2019,#Brexit,@santanderuk,,http://www.santander.co.uk/personal/support/fraud-and-security/how-to-report-fraud
OHATyoutube,cliodiaspora,"But you are wrong. Corbyn has had literally no say in Brexit. He isn't in government; he has no power to stop Brexit, and nor should he.",0,1,0,1123013670479519744,https://twitter.com/OHATyoutube/status/1123013670479519744,54310289,2019-04-29 23:58:18+00:00,Mon Apr 29 23:58:18 +0000 2019,,,,
BrexitBetrayed,DrTeckKhong,"It certainly is a puzzler. The numbers aren’t there to pass the WA. Labour want to destroy the Government to get in power, so I can’t see them getting their hands dirty with this deal. A collaboration would feed Farage’s insurgence as it isn’t Brexit, and revocation kills them.",1,2,1,1123013662665580544,https://twitter.com/BrexitBetrayed/status/1123013662665580544,1106193729235402753,2019-04-29 23:58:16+00:00,Mon Apr 29 23:58:16 +0000 2019,,,,
benavu54,,EU hopes UK cross-party talks will break Brexit deadlock this week ,0,0,0,1123013645921742848,https://twitter.com/benavu54/status/1123013645921742848,38808541,2019-04-29 23:58:12+00:00,Mon Apr 29 23:58:12 +0000 2019,,,,http://uk.reuters.com/article/uk-britain-eu-barnier/eu-hopes-uk-cross-party-talks-will-break-brexit-deadlock-this-week-idUKKCN1S520L
mudjokivis,Jacob_Rees_Mogg,Brexit is way down the list of reasons I would never vote Tory. ,2,9,1,1123013633443758080,https://twitter.com/mudjokivis/status/1123013633443758080,19343211,2019-04-29 23:58:09+00:00,Mon Apr 29 23:58:09 +0000 2019,,,,https://twitter.com/Jacob_Rees_Mogg/status/1122804786997469186
TWP_Mr_Z,TWP_Mr_Z,The brexit parties have peddled for years all whilst the leaders make millions whilst saying they support the working class we would’ve be in such a shitty place either,0,0,0,1123013581375770624,https://twitter.com/TWP_Mr_Z/status/1123013581375770624,982645944620601344,2019-04-29 23:57:57+00:00,Mon Apr 29 23:57:57 +0000 2019,,,,
speedybn1968,DavidLammy,Oh dear...more twisted logic. No mrs may and most likely the tory party is finished because she/ they have not even tried to deliver a meaningful brexit. The best shes offered via her deal is the illusion of brexit which true democrats reject quite rightly.,0,18,2,1123013571368116224,https://twitter.com/speedybn1968/status/1123013571368116224,745994823753142273,2019-04-29 23:57:54+00:00,Mon Apr 29 23:57:54 +0000 2019,,,,
firstpressNg,,Brexit WARNING: Alienated Tory MPs could REJECT deal with Labour says Jeremy Hunt https://www.newscabal.co.uk/brexit-warning-alienated-tory-mps-could-reject-deal-with-labour-says-jeremy-hunt/,0,0,0,1123013512652050432,https://twitter.com/firstpressNg/status/1123013512652050432,839061818819620864,2019-04-29 23:57:40+00:00,Mon Apr 29 23:57:40 +0000 2019,,,,https://www.newscabal.co.uk/brexit-warning-alienated-tory-mps-could-reject-deal-with-labour-says-jeremy-hunt/
AlfredWintle,sarahwollaston,"More people are voting for The Brexit Party than you though aren't they? Despite all your BS about the country supposedly wanting a second referendum &amp; you saying there is a swing towards Remain, more people are voting for The Brexit Party &amp; consequently Brexit.......aren't they?",3,11,0,1123013508193488896,https://twitter.com/AlfredWintle/status/1123013508193488896,800410408070758400,2019-04-29 23:57:39+00:00,Mon Apr 29 23:57:39 +0000 2019,,,,
BrexitNews1,,"Business confidence in Scotland up despite Brexit uncertainty, study suggests http://www.brexit-news.net/news/business-confidence-in-scotland-up-despite-brexit-uncertainty-study-suggests-73153",0,0,0,1123013493286932480,https://twitter.com/BrexitNews1/status/1123013493286932480,1105187093607780354,2019-04-29 23:57:36+00:00,Mon Apr 29 23:57:36 +0000 2019,,,,http://www.brexit-news.net/news/business-confidence-in-scotland-up-despite-brexit-uncertainty-study-suggests-73153
