username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
brexit_clock,,"Brexit is now 31st January 2020 : 62 days, 22 hours, 59 minutes and 59 seconds #BREXIT #BREXITCLOCK #CLOCK #EU #EUREF #LEAVE",0,0,0,1200565082549293056,https://twitter.com/brexit_clock/status/1200565082549293056,931571397280845824,2019-11-29 23:59:55+00:00,Fri Nov 29 23:59:55 +0000 2019,#BREXIT #BREXITCLOCK #CLOCK #EU #EUREF #LEAVE,,,
SchoolHouse_Sed,,"Kingfishers Mock election latest..... Hector, Charlie and Syamel pick out main items from the Lib Dem’s, Brexit and Green party’s manifesto’s to share / debate with the house. Next Monday is question time... ",1,12,0,1200565048705527808,https://twitter.com/SchoolHouse_Sed/status/1200565048705527808,311522365,2019-11-29 23:59:47+00:00,Fri Nov 29 23:59:47 +0000 2019,,,,
MarkPower101,brexit_sham,Stanley and his ilk used to be a substrata: milking the EU while castigating it. Now his spawn is using it to take over a country. Both filth. #fruitofthepoisonedtree,0,0,0,1200565031752077313,https://twitter.com/MarkPower101/status/1200565031752077313,831349826,2019-11-29 23:59:43+00:00,Fri Nov 29 23:59:43 +0000 2019,#fruitofthepoisonedtree,,,
audley_peters,,Thanks to Boris the big red bus company has made a small fortune . Which is good for the economy except it's probably tax payers money ? However this claim on getting Brexit done is phoney as it still depends on cross party support and probably quite a few years of negotiations .,0,0,0,1200565010432434177,https://twitter.com/audley_peters/status/1200565010432434177,2623977515,2019-11-29 23:59:38+00:00,Fri Nov 29 23:59:38 +0000 2019,,,,
ScotsSovereign,,#BBCDebate the unionists in Scotland seem spooked that people in England love @NicolaSturgeon. Well you are all welcome here in an independent Scotland and escape the corrupt Brexit mess.,0,1,0,1200565008033361921,https://twitter.com/ScotsSovereign/status/1200565008033361921,1311578838,2019-11-29 23:59:37+00:00,Fri Nov 29 23:59:37 +0000 2019,#BBCDebate,@NicolaSturgeon,,
verumandverus,simonblackwell,3 words 1. Jeremy 2. Corbyn 3. Brexit,0,3,0,1200565000538132481,https://twitter.com/verumandverus/status/1200565000538132481,803237801965842432,2019-11-29 23:59:36+00:00,Fri Nov 29 23:59:36 +0000 2019,,,,
WonkPorn,,"EU keeps UK waiting on Brexit delay, Johnson gears for an election http://dlvr.it/RKNtCG",0,0,0,1200564990102556672,https://twitter.com/WonkPorn/status/1200564990102556672,14549486,2019-11-29 23:59:33+00:00,Fri Nov 29 23:59:33 +0000 2019,,,,http://dlvr.it/RKNtCG
Jemoshe,,lo fi boriswave beats to relax/get brexit done to https://youtu.be/cre0in5n-1E FUCK THIS,2,7,2,1200564950802014208,https://twitter.com/Jemoshe/status/1200564950802014208,1128740283347292165,2019-11-29 23:59:24+00:00,Fri Nov 29 23:59:24 +0000 2019,,,,https://youtu.be/cre0in5n-1E
DrCAClarke,nickeardleybbc,Funny how Tories and brexit party reps always accuse others of doing precisely what they do,0,1,0,1200564938755973120,https://twitter.com/DrCAClarke/status/1200564938755973120,745940308068794368,2019-11-29 23:59:21+00:00,Fri Nov 29 23:59:21 +0000 2019,,,,
AndyWoodturner,BBCNewsPR,"You mean Brexit Party PLC, surely? ",0,0,0,1200564934645551105,https://twitter.com/AndyWoodturner/status/1200564934645551105,400861491,2019-11-29 23:59:20+00:00,Fri Nov 29 23:59:20 +0000 2019,,,,
GlobalMarkets72,StevieBrexit,This whole #Brexit mess is ultimately #Labour fault by creating mass immigration. #GetBrexitDone,0,0,0,1200564914420690949,https://twitter.com/GlobalMarkets72/status/1200564914420690949,1185658782187212800,2019-11-29 23:59:15+00:00,Fri Nov 29 23:59:15 +0000 2019,#Brexit #Labour #GetBrexitDone,,,https://twitter.com/StevieBrexit/status/1200530659808305153
Sterlingplaysuk,Sterlingplaysuk,@MrRichTheMan @KillerBeezy_ @seatinmol and me the brexit boys lol still cant get over it lolololol,0,1,0,1200564872955809793,https://twitter.com/Sterlingplaysuk/status/1200564872955809793,1021909663523237888,2019-11-29 23:59:05+00:00,Fri Nov 29 23:59:05 +0000 2019,,@MrRichTheMan @KillerBeezy_ @seatinmol,,
BrettEverest,BrothProf,Looks like a lefty propaganda poll. Bet everyone is sharing it. Ignore.!,0,0,0,1200564855822004227,https://twitter.com/BrettEverest/status/1200564855822004227,2410668233,2019-11-29 23:59:01+00:00,Fri Nov 29 23:59:01 +0000 2019,,,,
TheHiddenMirror,brexit_sham,I Lucas,0,0,0,1200564853154426880,https://twitter.com/TheHiddenMirror/status/1200564853154426880,634097203,2019-11-29 23:59:01+00:00,Fri Nov 29 23:59:01 +0000 2019,,,,
tommo515,yelseldusty,Not forgetting also that May gifted Corbyn with a brief opportunity to powershare (a joint initiative on Brexit) : he threw it back in her face. Since when insurmountable obstacles were placed before Boris while the aforementioned traitors went kowtowing to the EU. Unforgiveable. ,0,1,0,1200564831570538496,https://twitter.com/tommo515/status/1200564831570538496,2704417956,2019-11-29 23:58:55+00:00,Fri Nov 29 23:58:55 +0000 2019,,,,https://twitter.com/yelseldusty/status/1200556789667942406
tombewick2,FlorenceJukes,Well done Denise. Your opponent @YvetteCooperMP is possibly one of the most duplicitous Labour MPs on #Brexit to have ever served in the @HouseofCommons — just behind @EmilyThornberry @Keir_Starmer Good luck Dec 12th,8,16,1,1200564807285592064,https://twitter.com/tombewick2/status/1200564807285592064,1157375398826651648,2019-11-29 23:58:50+00:00,Fri Nov 29 23:58:50 +0000 2019,#Brexit,@YvetteCooperMP @HouseofCommons @EmilyThornberry @Keir_Starmer,,
LSaczak,LancsOatcake,"Unless we stop Brexit, we can kiss goodbye to everything. It all starts with getting the Tories out. Failing to do that is a catastrophe.",0,0,0,1200564759487295496,https://twitter.com/LSaczak/status/1200564759487295496,2363254081,2019-11-29 23:58:38+00:00,Fri Nov 29 23:58:38 +0000 2019,,,,
TomFerris5,SFejfer,"#TeamNat, 18,000 votes behind @ShrewsLabour in 2017 must be keen on an ultra hard no deal #Brexit in 2020 otherwise they’d be campaigning in Lembit Opik’s old seat just across the border in Powys which they have some chance of winning, which they haven’t in #ShrewsburyandAtcham",0,0,1,1200564757956313088,https://twitter.com/TomFerris5/status/1200564757956313088,737658944,2019-11-29 23:58:38+00:00,Fri Nov 29 23:58:38 +0000 2019,#TeamNat #Brexit #ShrewsburyandAtcham,@ShrewsLabour,,https://twitter.com/SFejfer/status/1200442589973008385
fabio_grahl,gra_carpio,"Deprimente! Estamos muito pior q Los Angeles em 2019! Bozo, Trump, Putin, Johnson, Brexit, tá loko! Para o mundo q quero descer!",0,1,1,1200564730466897926,https://twitter.com/fabio_grahl/status/1200564730466897926,135513111,2019-11-29 23:58:31+00:00,Fri Nov 29 23:58:31 +0000 2019,,,,
drchrishewitson,PoetTaxiDriver,No doubt the US arms manufacturers will want hand-guns included in any trade deal with Brexit Britain.,0,1,1,1200564729728688129,https://twitter.com/drchrishewitson/status/1200564729728688129,56693247,2019-11-29 23:58:31+00:00,Fri Nov 29 23:58:31 +0000 2019,,,,
Payteer,votetools,According to the Gina Miller site - Your Constituency : Stroud Recommendation: Vote Labour Explanation: competitive Labour-Conservative seat Predicted Vote Shares: Conservative: 42% Labour: 45% Lib Dems: 0% Brexit: 11% Green: 2% SNP / PC: 0% UKIP: 0% MIN: 0% Other: 0%,0,1,0,1200564713593155585,https://twitter.com/Payteer/status/1200564713593155585,14116882,2019-11-29 23:58:27+00:00,Fri Nov 29 23:58:27 +0000 2019,,,,
ItsLarwisLife,,"Today's #Brexit takeaway : Just been reading some Leavers tweets, laughing at and mocking Remainers, talking about how easy we are to (supposedly) ""wind up"" and doing it to ""pass time"". All Leavers I come across are nasty people. Nasty and ignorant. Remainers are not. #StopBrexit",0,2,0,1200564690918821888,https://twitter.com/ItsLarwisLife/status/1200564690918821888,452499001,2019-11-29 23:58:22+00:00,Fri Nov 29 23:58:22 +0000 2019,#Brexit #StopBrexit,,,
