date,id,username,text,pm
2019-01-16 23:56:14+00:00,1085687201600544768,richito81,"cuando un engranaje falla hay que cambiarlo: por uno de igual calidad o mejor, pero jamas por uno que te puede hacer fallar todo el sistema Theresa May sobrevive pero el Brexit se hunde en el caos político https://es.noticias.yahoo.com/theresa-may-sobrevive-pero-el-brexit-se-hunde-194746393.html?soc_src=social-sh&amp;soc_trk=tw vía @YahooActualidad",may
2019-01-16 23:56:03+00:00,1085687153961680896,feedperuano,Theresa May sobrevive a moción de censura pero el Brexit se hunde en el caos político http://ow.ly/2TQe101rAy2,may
2019-01-16 23:55:59+00:00,1085687139021422592,elongwoods,May and Brexit Face Uncertain Future After Crushing Vote in Parliament - The New York Times https://www.nytimes.com/2019/01/15/world/europe/brexit-vote-theresa-may.html,may
2019-01-16 23:55:48+00:00,1085687091802132480,mikeymckenna,"But he cannot be challenged right now. Unfortunately. Would be the worst possible time to do so. I’ve been waiting for Theresa May to chuck it, then surely that gives time for @YvetteCooperMP or @Keir_Starmer to take the throne... Provided Brexit deadline is extended",may
2019-01-16 23:55:47+00:00,1085687086534017029,VinceWyldeShow,U.K. Parliament Rejects Theresa May’s Brexit Deal via The Onion http://bit.ly/2SZc8S6 from Blogger http://bit.ly/2ssvsM0 via IFTTT,may
2019-01-16 23:55:41+00:00,1085687062047674369,GinaLawriw,Britain's Theresa May survives 'no-confidence' vote after large Brexit defeat https://www.usatoday.com/story/news/world/2019/01/16/brexit-british-leader-theresa-may-confidence-vote/2590831002/ via @usatoday,may
2019-01-16 23:55:40+00:00,1085687057979187200,Brisbane4000,Nobody wants to be Prime Minister during #Brexit except Theresa May. History will read May favourably post Brexit as opposed to weak and lazy Conservative Party eurosceptics. ,may
2019-01-16 23:55:36+00:00,1085687041017421825,k3books,"We leave in March #brexit Odds on with no FTA deal. Dublin, France &amp; Spain Won't allow a FTA. Remember @10DowningStreet @theresa_may",may
2019-01-16 23:55:32+00:00,1085687023690805248,UniverSmartphon,Brexit: la mission impossible de Theresa May – Le Figaro https://www.universmartphone.com/brexit-la-mission-impossible-de-theresa-may-le-figaro,may
2019-01-16 23:55:30+00:00,1085687016006864897,lewiisjefferies,I’ll give Theresa May a good deal - Pizza Hut Saver Bundle. 2 pizzas and a classic side for just £20. What a bargain. #Brexit,may
2019-01-16 23:55:05+00:00,1085686910507352064,MundoClarin,La premier Theresa May salva su gobierno pero el Brexit navega a la deriva http://dlvr.it/QwrCxH,may
2019-01-16 23:54:57+00:00,1085686879360557057,OmnisArihel,Theresa May Made A Late Night Downing Street Statement On Brexit And It's Left People Fuming | HuffPost UK ,may
2019-01-16 23:54:49+00:00,1085686842672992258,PowdrillJohn,"Brexit: Theresa May says MPs must 'work together' to deliver Brexit: STOP BREXIT, not deliver it. http://www.bbc.co.uk/news/uk-politics-46900367",may
2019-01-16 23:54:47+00:00,1085686837564268544,elongwoods,Brexit plan fails: https://www.nytimes.com/2019/01/15/world/europe/brexit-vote-theresa-may.html,may
2019-01-16 23:54:45+00:00,1085686829632897024,firstpressNg,No confidence vote result: Theresa May narrowly survives vote with help of allies who crushed her Brexit deal https://www.newscabal.co.uk/no-confidence-vote-result-theresa-may-narrowly-survives-vote-with-help-of-allies-who-crushed-her-brexit-deal/,may
2019-01-16 23:54:05+00:00,1085686659318992897,jamesbaldwin91,"325-306. Theresa May: ""This evening the government has won the confidence of parliament.” #NoConfidence #Brexit ",may
