username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
AndyCSheppard,PoliticsJOE_UK,Honda are leaving because of Brexit but won't say because why should they?,0,6,1,1112142437525397504,https://twitter.com/AndyCSheppard/status/1112142437525397504,21224021,2019-03-30 23:59:54+00:00,Sat Mar 30 23:59:54 +0000 2019,,,,
countessofsnark,,"I’ve never been closer to one of my gaming friends than I am now and it feels like I’ve finally met the right balance between caring, sweet, and geeky. If it weren’t for Brexit I would absolutely go and meet all of them on a regular basis so I would. But especially him. Oh yes.",0,1,1,1112142437215100931,https://twitter.com/countessofsnark/status/1112142437215100931,17021189,2019-03-30 23:59:54+00:00,Sat Mar 30 23:59:54 +0000 2019,,,,
peterfwest,,"Even if you leave aside the mess they've made of Brexit, the damage to our public services should be enough to exclude any reasonable person from voting Tory #theobserver",0,0,1,1112142432454492160,https://twitter.com/peterfwest/status/1112142432454492160,57616186,2019-03-30 23:59:53+00:00,Sat Mar 30 23:59:53 +0000 2019,#theobserver,,,
MusicSLE,,This is appalling and shows just how desperate the education funding crisis in this country now is. Brexit is preventing this story from being the headline grabber it should be. Remember this when you next enter a polling station. ,1,0,0,1112142432244850689,https://twitter.com/MusicSLE/status/1112142432244850689,1060653713285697536,2019-03-30 23:59:53+00:00,Sat Mar 30 23:59:53 +0000 2019,,,,https://www.theguardian.com/education/2019/mar/30/teachers-volunteer-pay-cut-save-colleagues-jobs-furzedown-funding?CMP=share_btn_tw
spacemermeid,,"shroedingers brexit, anyone?",0,1,0,1112142429770133504,https://twitter.com/spacemermeid/status/1112142429770133504,1019099573707517952,2019-03-30 23:59:52+00:00,Sat Mar 30 23:59:52 +0000 2019,,,,
jon_mumford1982,jojojoheeley,#brexit or life in general?,0,0,0,1112142425169059840,https://twitter.com/jon_mumford1982/status/1112142425169059840,2450460074,2019-03-30 23:59:51+00:00,Sat Mar 30 23:59:51 +0000 2019,#brexit,,,
stephenhawes2,,Passionate speech by Tommy Robinson at the brexit betrayal rally https://youtu.be/MDA3J7PVkQ8,0,0,0,1112142417942245376,https://twitter.com/stephenhawes2/status/1112142417942245376,1004554363,2019-03-30 23:59:49+00:00,Sat Mar 30 23:59:49 +0000 2019,,,,https://youtu.be/MDA3J7PVkQ8
Chris_Cunno,adam_saynor,All screaming Brexit means Brexit,0,0,1,1112142409385893888,https://twitter.com/Chris_Cunno/status/1112142409385893888,301077213,2019-03-30 23:59:47+00:00,Sat Mar 30 23:59:47 +0000 2019,,,,
Cleggan1,,Merkel and Macron to demand a Border plan amid mounting fears of no-deal Brexit https://www.msn.com/en-ie/news/world/merkel-and-macron-to-demand-a-border-plan-amid-mounting-fears-of-no-deal-brexit/ar-BBVppkF,0,0,0,1112142406005198853,https://twitter.com/Cleggan1/status/1112142406005198853,172947702,2019-03-30 23:59:46+00:00,Sat Mar 30 23:59:46 +0000 2019,,,,https://www.msn.com/en-ie/news/world/merkel-and-macron-to-demand-a-border-plan-amid-mounting-fears-of-no-deal-brexit/ar-BBVppkF
Farmerssustain,QUBFoodProf,#Brexit ,0,0,0,1112142403417210880,https://twitter.com/Farmerssustain/status/1112142403417210880,228544760,2019-03-30 23:59:46+00:00,Sat Mar 30 23:59:46 +0000 2019,#Brexit,,,https://twitter.com/QUBFoodProf/status/1111917506954956800
ahmfreimann,,UK's May risks 'total collapse' of government in Brexit impasse: Sunday Times ,0,0,0,1112142401190146048,https://twitter.com/ahmfreimann/status/1112142401190146048,1554506828,2019-03-30 23:59:45+00:00,Sat Mar 30 23:59:45 +0000 2019,,,,http://www.reuters.com/article/us-britain-eu-may-cabinet-idUSKCN1RB0R4?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5c9fffa63ed3f00001724158&utm_medium=trueAnthem&utm_source=facebook
Rooster_75,,Dying. Just. Dying. #brexit ,2,2,0,1112142383238574083,https://twitter.com/Rooster_75/status/1112142383238574083,1610602682,2019-03-30 23:59:41+00:00,Sat Mar 30 23:59:41 +0000 2019,#brexit,,,
Scriblit,mrdavidwhitley,Have MoS got some sort of Soft Brexit/Bremain agenda or have they genuinely just accidentally found an uptick of recent support for revoke &amp; Lab?,0,0,0,1112142371397996544,https://twitter.com/Scriblit/status/1112142371397996544,20792012,2019-03-30 23:59:38+00:00,Sat Mar 30 23:59:38 +0000 2019,,,,
Hephaestus7,,Brexit: Ten politicians who claimed negotiations with the EU were going to be easy | indy100 ,0,2,0,1112142370882158593,https://twitter.com/Hephaestus7/status/1112142370882158593,37928746,2019-03-30 23:59:38+00:00,Sat Mar 30 23:59:38 +0000 2019,,,,https://www.indy100.com/article/brexit-easy-nigel-farage-theresa-may-david-davis-boris-johnson-8846041
dan63uk,SkyNewsPolitics,"The British people have been the victim of an ""orchestrated campaign"" by MPs to stop Brexit, and you Dominic Grievance are one of the ringleaders.",0,1,0,1112142365798658050,https://twitter.com/dan63uk/status/1112142365798658050,18533884,2019-03-30 23:59:37+00:00,Sat Mar 30 23:59:37 +0000 2019,,,,
NickGerman1,FindAnotherGear,So why are you frightened of making sure it’s the will of the people now that we know vote Leave broke the law and that Brexit may not be what voters thought it would be?,0,0,1,1112142363399544832,https://twitter.com/NickGerman1/status/1112142363399544832,359422535,2019-03-30 23:59:36+00:00,Sat Mar 30 23:59:36 +0000 2019,,,,
quatermass3,MirrorPolitics,"A total failure both as HS!!..and as PM!!...The woman that caused PAIN MISERY and DEATH with her austerity policies!!...screwed up brexit, and split the country!!....what a legacy to live with!! ",0,0,0,1112142354310488070,https://twitter.com/quatermass3/status/1112142354310488070,2560953854,2019-03-30 23:59:34+00:00,Sat Mar 30 23:59:34 +0000 2019,,,,
