username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
sinoia2,TheClobs,Wtf is anti democratic about standing on principle in an honest way? Did he change his mind like Boris? Did he lie? He stood consistently for what he believed in. THATS DEMOCRACY.,0,1,1,1111780067791781888,https://twitter.com/sinoia2/status/1111780067791781888,1064127584550772736,2019-03-29 23:59:58+00:00,Fri Mar 29 23:59:58 +0000 2019,,,,
ConstantinStHe1,BorisJohnson,"Obviously not half as bitterly as the electorate regrets it, Boris. You’re finished, Oxbridge degree &amp; all. Fatal misjudgement. ",0,0,0,1111780066466451456,https://twitter.com/ConstantinStHe1/status/1111780066466451456,950473173077823489,2019-03-29 23:59:58+00:00,Fri Mar 29 23:59:58 +0000 2019,,,,https://twitter.com/BorisJohnson/status/1111563604556431360
Ruineves27,,#JN chamem o Boris Casoy ou o Heródoto Barbeiro para fazer as pautas.....,0,2,0,1111780026515628033,https://twitter.com/Ruineves27/status/1111780026515628033,899826134405304321,2019-03-29 23:59:48+00:00,Fri Mar 29 23:59:48 +0000 2019,#JN,,,
martykn42908668,ByDonkeys,"Two words should be expunged from the English language , Boris and Johnson , neither would be missed .",0,0,0,1111780006433304577,https://twitter.com/martykn42908668/status/1111780006433304577,1056210185600012288,2019-03-29 23:59:44+00:00,Fri Mar 29 23:59:44 +0000 2019,,,,
Andrew_InStre,,"......you mean Boris Johnson aka Krusty The Clown wants to become PM! That lying clown. Bercow reminds me of the film Cromwell, the Speaker aka Lord Of Manchester. @lbc @NIAbbot",0,0,0,1111779964419014656,https://twitter.com/Andrew_InStre/status/1111779964419014656,573120646,2019-03-29 23:59:34+00:00,Fri Mar 29 23:59:34 +0000 2019,,@LBC @NIAbbot,,
philtheclaret,,"@LBC hi Nick, is Donny, Boris and Michael Fabricant all related to each other? Triplets.",0,0,0,1111779917614800896,https://twitter.com/philtheclaret/status/1111779917614800896,20332820,2019-03-29 23:59:22+00:00,Fri Mar 29 23:59:22 +0000 2019,,@LBC,,
BoycottFamilyLw,,29th March - London - The Great Brexit Betrayal @BBCr4today @10DowningStreet @theresa_may @Nigel_Farage @BorisJohnson #bbcqt BBC Question Time @bbcquestiontime @lbcbreaking @theJeremyVine @NickFerrariLBC @Peston l @UKpoliticsPL @LBC...,1,0,0,1111779902423031814,https://twitter.com/BoycottFamilyLw/status/1111779902423031814,1336656378,2019-03-29 23:59:19+00:00,Fri Mar 29 23:59:19 +0000 2019,#bbcqt,@BBCr4today @10DowningStreet @theresa_may @Nigel_Farage @BorisJohnson @bbcquestiontime @theJeremyVine @NickFerrariLBC @Peston @UKpoliticsPL @LBC,,https://youtu.be/O8AUbZiFv5A
JuanVictorOvel1,enriquevp,"Cuando Boris Johnson pudo tomar las riendas se cagó encima y no asumió !! Desde épocas d facultad fue sombra de David Cameron , inútil , oportunista y cagón.",0,0,0,1111779821644845056,https://twitter.com/JuanVictorOvel1/status/1111779821644845056,1077268851677691904,2019-03-29 23:59:00+00:00,Fri Mar 29 23:59:00 +0000 2019,,,,
brenpage72,,Boris Johnson's HQ as the EU referendum result comes in. https://youtu.be/-a6HNXtdvVQ via @YouTube,0,0,0,1111779797535989760,https://twitter.com/brenpage72/status/1111779797535989760,458801378,2019-03-29 23:58:54+00:00,Fri Mar 29 23:58:54 +0000 2019,,@YouTube,,https://youtu.be/-a6HNXtdvVQ
philrydin,BorisJohnson,Please don't incite hatred Boris. I'm really worried about the language many of you are using.,0,0,0,1111779788975468545,https://twitter.com/philrydin/status/1111779788975468545,1712064462,2019-03-29 23:58:52+00:00,Fri Mar 29 23:58:52 +0000 2019,,,,
