username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
OfficialLiLix,MaracleMan,brexit means brexit!,0,0,0,1090761564880359429,https://twitter.com/OfficialLiLix/status/1090761564880359429,3863006488,2019-01-30 23:59:57+00:00,Wed Jan 30 23:59:57 +0000 2019,,,,
Salford_Council,MarkinCW5,Don't forget the #Champagne shortages for the #ChampagneSocialist #Remainers #MyBrexitDeath #Brexit,0,1,0,1090761557712220160,https://twitter.com/Salford_Council/status/1090761557712220160,566393365,2019-01-30 23:59:55+00:00,Wed Jan 30 23:59:55 +0000 2019,#Champagne #ChampagneSocialist #Remainers #MyBrexitDeath #Brexit,,,
BrknMan,,Brexit in the uk is a toddler demanding vanilla ice cream and then throwing a tantrum because it's not chocolate.,1,3,0,1090761550087053312,https://twitter.com/BrknMan/status/1090761550087053312,271132722,2019-01-30 23:59:53+00:00,Wed Jan 30 23:59:53 +0000 2019,,,,
omcintyre25,ladybookmad,A visual representation of everyone in the UK right now #Brexit ,0,1,0,1090761548711239680,https://twitter.com/omcintyre25/status/1090761548711239680,948182891049160704,2019-01-30 23:59:53+00:00,Wed Jan 30 23:59:53 +0000 2019,#Brexit,,,https://twitter.com/ladybookmad/status/1090659362220244992
PetaSteel,forwardnotback,"The shock is that he took the chief whip with him and not Keir Starker, the Brexit shadow minister to talk to May about Brexit.",0,1,2,1090761536023523329,https://twitter.com/PetaSteel/status/1090761536023523329,338358645,2019-01-30 23:59:50+00:00,Wed Jan 30 23:59:50 +0000 2019,,,,
MattBateman1991,SoozUK,I’d be very happy with this. Then for sooz to play Theresa in the channel 4 6 part docu-drama of the Brexit situation but done in a “The Thick of It” style,0,5,0,1090761532907110401,https://twitter.com/MattBateman1991/status/1090761532907110401,200451585,2019-01-30 23:59:49+00:00,Wed Jan 30 23:59:49 +0000 2019,,,,
Mineiskarma1,TiceRichard,"He is advising on the incompatibility of the government’s position with reality, that is his job - to speak truth to power. The Prime Minister is free to disregard his advice & seek to deliver her unicorn brexit, which she is doing. The outcome will be abject failure. All clear?",0,0,0,1090761528133992448,https://twitter.com/Mineiskarma1/status/1090761528133992448,926915585329565696,2019-01-30 23:59:48+00:00,Wed Jan 30 23:59:48 +0000 2019,,,,
kimyhorn,,"Despite the current economic climate and the negativity caused by unending uncertainty over Brexit, one sector that’s thriving is the UK meetings industry.: https://buff.ly/2RsNrvN",0,0,0,1090761523000160256,https://twitter.com/kimyhorn/status/1090761523000160256,4116994499,2019-01-30 23:59:47+00:00,Wed Jan 30 23:59:47 +0000 2019,,,,https://buff.ly/2RsNrvN
WayneJ_Murphy,DVATW,This tweet is the best explanation of the thinking that has the UK where it is today #Brexit what a twat!! #readyourhistory,0,1,2,1090761514271805446,https://twitter.com/WayneJ_Murphy/status/1090761514271805446,70413007,2019-01-30 23:59:45+00:00,Wed Jan 30 23:59:45 +0000 2019,#Brexit #readyourhistory,,,https://twitter.com/DVATW/status/1089975727548780547
OadbyTown_FC,nutts_mutts,"USA, Japan, China, India. Richest countries in the world. No need to try “very hard”. Brexit is happening, the democratic vote decided that. So now to adapt.",0,0,2,1090761504058720256,https://twitter.com/OadbyTown_FC/status/1090761504058720256,891578463215288321,2019-01-30 23:59:42+00:00,Wed Jan 30 23:59:42 +0000 2019,,,,
askewmind,,Dismayed EU says UK parliament’s Brexit votes change nothing https://www.politico.eu/article/dismayed-eu-jean-claude-juncker-says-uk-parliament-brexit-votes-changed-nothing/ via @instapaper,0,0,0,1090761500640198656,https://twitter.com/askewmind/status/1090761500640198656,17737291,2019-01-30 23:59:41+00:00,Wed Jan 30 23:59:41 +0000 2019,,@instapaper,,https://www.politico.eu/article/dismayed-eu-jean-claude-juncker-says-uk-parliament-brexit-votes-changed-nothing/
MsCatieMaxx,,#Selmayr is taking over the #Brexit negotiations – and that’s bad news for Britain ,0,0,1,1090761499952463872,https://twitter.com/MsCatieMaxx/status/1090761499952463872,101598139,2019-01-30 23:59:41+00:00,Wed Jan 30 23:59:41 +0000 2019,#Selmayr #Brexit,,,https://blogs.spectator.co.uk/2019/01/martin-selmayr-is-taking-over-the-brexit-negotiations-and-thats-bad-news-for-britain/
