username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
skandalmandan,,what credibility? neither Brexit party has credibility little England is a laughing stock London: we need OUT. #Londependence,1,1,0,852310272454909952,https://twitter.com/skandalmandan/status/852310272454909952,747104164988190720,2017-04-12 23:59:38+00:00,Wed Apr 12 23:59:38 +0000 2017,#Londependence,,,
BoycottsBat,BoycottsBat,"> Scots, so a bomb proof economic case would make it a cert. Regardless of how they voted, I think people are curious to see how Brexit &gt;",0,1,2,852310199763423232,https://twitter.com/BoycottsBat/status/852310199763423232,23829152,2017-04-12 23:59:21+00:00,Wed Apr 12 23:59:21 +0000 2017,,,,
RudiGuraziu,,Excellent piece @nytimes on #London &amp; #Brexit #LondonIsOpen @MayorofLondon https://www.nytimes.com/interactive/2017/04/11/world/europe/uk-london-brexit.html?_r=0,1,2,0,852310196022071296,https://twitter.com/RudiGuraziu/status/852310196022071296,33867280,2017-04-12 23:59:20+00:00,Wed Apr 12 23:59:20 +0000 2017,#London #Brexit #LondonIsOpen,@nytimes @MayorofLondon,,https://www.nytimes.com/interactive/2017/04/11/world/europe/uk-london-brexit.html?_r=0
tgw123,GjciscoGraeme,#Brexit ~ #Remain never mentioned 2nd #EUref BEFORE their defeat. The world knows had they won it would have ended right there. #Democracy!,1,0,0,852310085409939456,https://twitter.com/tgw123/status/852310085409939456,53027368,2017-04-12 23:58:54+00:00,Wed Apr 12 23:58:54 +0000 2017,#Brexit #Remain #EUref #Democracy,,,https://twitter.com/GjciscoGraeme/status/840341656901672961
STavares__,FESMontemaggi,Precisely - and why I don't bother... #Brexit ,0,0,1,852310069907771393,https://twitter.com/STavares__/status/852310069907771393,2178018878,2017-04-12 23:58:50+00:00,Wed Apr 12 23:58:50 +0000 2017,#Brexit,,,https://twitter.com/FESMontemaggi/status/852268265078484994
BREXIT_MAGA,LFCMIGUEL,"child rape is accepted in Pakistan, Afghanistan, Saudi & any other country which allows child marriage. mohammed married a 6 yr old ffs",0,0,0,852310002438209536,https://twitter.com/BREXIT_MAGA/status/852310002438209536,802962940106338305,2017-04-12 23:58:34+00:00,Wed Apr 12 23:58:34 +0000 2017,,,,
2020kurtulus,,Lütfen anketlere inanmayın!Brexit e hayır çıkacak!Trump kaybedecek dendi!Sonuçları gördünüz!Tam tersi oldu!Ülkemiz geleceği için oy kullanın,1,1,0,852309938902896641,https://twitter.com/2020kurtulus/status/852309938902896641,425798092,2017-04-12 23:58:19+00:00,Wed Apr 12 23:58:19 +0000 2017,,,,
NYtitanic1999,niknickerson,Brexit is mission impossible. Leave EU &amp; have the same access to the single market as before? Radical idea lets remain in the EU? ,6,10,0,852309868904144896,https://twitter.com/NYtitanic1999/status/852309868904144896,745642144229097472,2017-04-12 23:58:02+00:00,Wed Apr 12 23:58:02 +0000 2017,,,,
richard51185877,,Martin Rowson on the British passport's post-Brexit redesign - cartoon https://www.theguardian.com/commentisfree/picture/2017/apr/02/martin-rowson-on-the-british-passports-post-brexit-redesign-cartoon?CMP=share_btn_tw,0,0,0,852309811865632768,https://twitter.com/richard51185877/status/852309811865632768,2350366152,2017-04-12 23:57:48+00:00,Wed Apr 12 23:57:48 +0000 2017,,,,https://www.theguardian.com/commentisfree/picture/2017/apr/02/martin-rowson-on-the-british-passports-post-brexit-redesign-cartoon?CMP=share_btn_tw
yunod,,Our Brexit-driven disregard for Ireland is perilous ,0,0,0,852309698451734528,https://twitter.com/yunod/status/852309698451734528,99059859,2017-04-12 23:57:21+00:00,Wed Apr 12 23:57:21 +0000 2017,,,,https://www.theguardian.com/commentisfree/2017/apr/12/brexit-ireland-nationalist-united?CMP=Share_AndroidApp_Tweet
Ben9684,SLATUKIP,you forgot about how labour are now fans of Brexit,0,0,1,852309687970258945,https://twitter.com/Ben9684/status/852309687970258945,712811142247292928,2017-04-12 23:57:19+00:00,Wed Apr 12 23:57:19 +0000 2017,,,,
