username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
bolsafinanzas,,El ‘Brexit’ amenaza el paraíso gibraltareño del juego ‘online’ http://dlvr.it/NMJZdh,0,1,0,830929360190255107,https://twitter.com/bolsafinanzas/status/830929360190255107,719238901488074753,2017-02-12 23:59:32+00:00,Sun Feb 12 23:59:32 +0000 2017,,,,http://dlvr.it/NMJZdh
Lior_Puigsztejn,,Gibraltar poses threat to post-Brexit aviation access https://www.ft.com/content/a62b292a-ef99-11e6-930f-061b01e23655 via @FT,0,0,0,830929331710992389,https://twitter.com/Lior_Puigsztejn/status/830929331710992389,1690933429,2017-02-12 23:59:25+00:00,Sun Feb 12 23:59:25 +0000 2017,,@FT,,https://www.ft.com/content/a62b292a-ef99-11e6-930f-061b01e23655
hopbin,,For more than 40 years we assaulted by Right wing hatred & lies.#Brexit owes more to #Goebbels than #Cameron.At least Goebbels shot himself,0,0,0,830929311305723906,https://twitter.com/hopbin/status/830929311305723906,221718444,2017-02-12 23:59:20+00:00,Sun Feb 12 23:59:20 +0000 2017,#Brexit #Goebbels #Cameron,,,
OorPolly,,Daily Record: Majority in UK now expect Scotland to become independent as new poll reveals post-Brexit fall-out. ,9,5,1,830929309493764096,https://twitter.com/OorPolly/status/830929309493764096,474234344,2017-02-12 23:59:19+00:00,Sun Feb 12 23:59:19 +0000 2017,,,,http://google.com/newsstand/s/CBIwv9GJszk
DuncanRice1,Macdonald2Sandy,@yorkspride They still don't get it do they? Brexit was about restoring the nation state more than anything!,2,2,0,830929305198796800,https://twitter.com/DuncanRice1/status/830929305198796800,956216779,2017-02-12 23:59:18+00:00,Sun Feb 12 23:59:18 +0000 2017,,@yorkspride,,
Brooks1886,clionamccarney,"Nesbitt will def not want to raise his Brexit position again within his own party, nevermind the Unionist electorate.",0,0,1,830929286869704704,https://twitter.com/Brooks1886/status/830929286869704704,38529854,2017-02-12 23:59:14+00:00,Sun Feb 12 23:59:14 +0000 2017,,,,
LibDemsSWF,,"WATCH: Ros Scott talk about the Article 50 Bill, Brexit, the Lib Dems &amp; local elections http://j.mp/2lElzWj",0,0,0,830929271497428992,https://twitter.com/LibDemsSWF/status/830929271497428992,747183968349478913,2017-02-12 23:59:10+00:00,Sun Feb 12 23:59:10 +0000 2017,,,,http://j.mp/2lElzWj
clarkmike,,'Brexit migration cuts could push state pension age up' -http://bit.ly/2l4UZZw via @telegraph,0,0,0,830929225045725185,https://twitter.com/clarkmike/status/830929225045725185,27102150,2017-02-12 23:58:59+00:00,Sun Feb 12 23:58:59 +0000 2017,,@Telegraph,,http://bit.ly/2l4UZZw
jennifergardy,ubcprez,Do you science? Do you want to science at my super university? In lovely Vancouver? Away from Trump and Brexit? Yes you do. Apply. ,68,102,7,830929147199262720,https://twitter.com/jennifergardy/status/830929147199262720,20478716,2017-02-12 23:58:41+00:00,Sun Feb 12 23:58:41 +0000 2017,,,,https://twitter.com/ubcprez/status/830921469249019904
Rowland72James,,THE BREXITEER a ladybird book #brexit ,3,2,0,830929118782976000,https://twitter.com/Rowland72James/status/830929118782976000,556629230,2017-02-12 23:58:34+00:00,Sun Feb 12 23:58:34 +0000 2017,#brexit,,,
rcrobjohn,JohnBuck_3,Vote Leave campaigned for Brexit - just saying ,0,0,1,830929118699077633,https://twitter.com/rcrobjohn/status/830929118699077633,713781493550735360,2017-02-12 23:58:34+00:00,Sun Feb 12 23:58:34 +0000 2017,,,,
ani7acorral,,El ‘Brexit’ amenaza el paraíso gibraltareño del juego ‘online’ http://dlvr.it/NMJYFL,0,0,0,830929015359692800,https://twitter.com/ani7acorral/status/830929015359692800,2919023349,2017-02-12 23:58:09+00:00,Sun Feb 12 23:58:09 +0000 2017,,,,http://dlvr.it/NMJYFL
jansosphotos,,"No Theresa May, 65 million of us are not behind you on Brexit http://ibt.uk/A6jSi?utm_source=social&amp;utm_medium=twitter&amp;utm_campaign=/no-theresa-may-65-million-us-are-not-behind-you-brexit-1604728 via @IBTimesUK",0,0,0,830928967834226688,https://twitter.com/jansosphotos/status/830928967834226688,14810824,2017-02-12 23:57:58+00:00,Sun Feb 12 23:57:58 +0000 2017,,@IBTimesUK,,http://ibt.uk/A6jSi?utm_source=social&utm_medium=twitter&utm_campaign=/no-theresa-may-65-million-us-are-not-behind-you-brexit-1604728
alexwales48,TheScotsman,He could have done that voting against Brexit. But he wants people to suffer Brexit to generate Tory hate.,0,0,1,830928911223685120,https://twitter.com/alexwales48/status/830928911223685120,3140312662,2017-02-12 23:57:45+00:00,Sun Feb 12 23:57:45 +0000 2017,,,,
v7dge,LBC,"Westminster is a cesspit.Davis sends a personal txt,a joke,within a day it's with the press.£££s paid for Juicy gossip no doubt.#brexit",0,0,0,830928879619563523,https://twitter.com/v7dge/status/830928879619563523,773624791,2017-02-12 23:57:37+00:00,Sun Feb 12 23:57:37 +0000 2017,#brexit,,,
willroeb,,@examiner on #brexit survey https://twitter.com/jasonrspencer/status/830795607497375744,0,0,0,830928856479629313,https://twitter.com/willroeb/status/830928856479629313,169062943,2017-02-12 23:57:31+00:00,Sun Feb 12 23:57:31 +0000 2017,#brexit,@Examiner,,https://twitter.com/jasonrspencer/status/830795607497375744
GenerationXChic,realDonaldTrump,@realDonaldTrump your visit to see the Queen of England? I wouldn't count on it. #TrumpTweets #QueenElizabeth #Brexit #TrumpProtest,0,2,0,830928739894689793,https://twitter.com/GenerationXChic/status/830928739894689793,819670480449744896,2017-02-12 23:57:04+00:00,Sun Feb 12 23:57:04 +0000 2017,#TrumpTweets #QueenElizabeth #Brexit #TrumpProtest,@realDonaldTrump,,https://twitter.com/realDonaldTrump/status/304313180807630849
