username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
brexit_clock,,"Brexit is now 31st January 2020 : 79 days, 22 hours, 59 minutes and 59 seconds #BREXIT #BREXITCLOCK #CLOCK #EU #EUREF #LEAVE",0,0,0,1194404499743543297,https://twitter.com/brexit_clock/status/1194404499743543297,931571397280845824,2019-11-12 23:59:58+00:00,Tue Nov 12 23:59:58 +0000 2019,#BREXIT #BREXITCLOCK #CLOCK #EU #EUREF #LEAVE,,,
AchileasPontios,Independent,So many problems will follow Brexit. Better stay within EU.,0,0,0,1194404495029080064,https://twitter.com/AchileasPontios/status/1194404495029080064,1180107307331604482,2019-11-12 23:59:57+00:00,Tue Nov 12 23:59:57 +0000 2019,,,,
ThirdMan__,Dorianlynskey,"I don't, ex Labour voter. Labour aren't a remain party and people aren't just voting LD due to Brexit, they hate Corbyn too. Perhaps your mutuals are mainly made up of soft left Labour voters because my mutuals are agreeing with me. Blame Labour not the LD's for their failures",0,1,0,1194404458404429825,https://twitter.com/ThirdMan__/status/1194404458404429825,1123313584216395782,2019-11-12 23:59:48+00:00,Tue Nov 12 23:59:48 +0000 2019,,,,
OxfordMG,Nigel_Farage,"Crazy - given this is a general election and not just a Brexit, the Tories have a duty to stand in these - standing is giving Labour a boost!",0,0,0,1194404454898061313,https://twitter.com/OxfordMG/status/1194404454898061313,245944429,2019-11-12 23:59:47+00:00,Tue Nov 12 23:59:47 +0000 2019,,,,
DirtiestDeeds,ChukaUmunna,"Brexit is a tory policy, that's why. ",0,0,0,1194404451873935360,https://twitter.com/DirtiestDeeds/status/1194404451873935360,19651901,2019-11-12 23:59:46+00:00,Tue Nov 12 23:59:46 +0000 2019,,,,
velvet2660,weeklywhinge,"No. Do not misunderstand me. I’d love lots of unrealistic wishes to be. I’m that frightened people will be Tribal to Party, or past mistakes they will allow by default the Tories or Brexit Ltd to achieve the election seats. We will not have any PV if they Tories get a majority. ",0,0,1,1194404451458654208,https://twitter.com/velvet2660/status/1194404451458654208,1111645725283225601,2019-11-12 23:59:46+00:00,Tue Nov 12 23:59:46 +0000 2019,,,,
HighAngloGang,katieeeeebell,Brexit being delayed by another 3 months after January ,0,12,0,1194404449760038913,https://twitter.com/HighAngloGang/status/1194404449760038913,1029419232637972482,2019-11-12 23:59:46+00:00,Tue Nov 12 23:59:46 +0000 2019,,,,https://twitter.com/katieeeeebell/status/1192896573073588224
brexit_sham,,https://twitter.com/BBCNewsnight/status/1194397864429940741,6,9,2,1194404446618435584,https://twitter.com/brexit_sham/status/1194404446618435584,826382447885574144,2019-11-12 23:59:45+00:00,Tue Nov 12 23:59:45 +0000 2019,,,,https://twitter.com/BBCNewsnight/status/1194397864429940741
drjohnleach,jmshrrsn,"Yes, the time has come to stand up and be counted, in every way. Brexit; Climate Catastrophe; BBC; politicians' mendacity; undermining democracy; Populism; ... No hiding! No cowardice! Shout it out like @snb19692",2,7,0,1194404433871945728,https://twitter.com/drjohnleach/status/1194404433871945728,4735532849,2019-11-12 23:59:42+00:00,Tue Nov 12 23:59:42 +0000 2019,,@snb19692,,https://twitter.com/jmshrrsn/status/1194403063316004865
Macca78_lfc,,Oh and he likes the clash too What a fucking guy Has he ever listened to the lyrics ffs Oh and we’re getting a micro fucking wave brexit ,0,0,0,1194404427517562880,https://twitter.com/Macca78_lfc/status/1194404427517562880,1634882420,2019-11-12 23:59:41+00:00,Tue Nov 12 23:59:41 +0000 2019,,,,
