username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
PhilKimby,PhilKimby,Horsemeat scandal: businessman found guilty of fraud,0,0,0,896521558679801856,https://twitter.com/PhilKimby/status/896521558679801856,807328494095134720,2017-08-12 23:59:30+00:00,Sat Aug 12 23:59:30 +0000 2017,,,,https://www.theguardian.com/uk-news/2017/jul/26/horsemeat-scandal-businessman-andronicos-sideras?CMP=share_btn_tw
Bronxvoice1,,New post (UK tries to parry claims it's unprepared in Brexit talks) has been published on BRONX VOICE - http://bronxvoice.com/uk-tries-to-parry-claims-its-unprepared-in-brexit-talks/,0,0,0,896521554804264960,https://twitter.com/Bronxvoice1/status/896521554804264960,718594822215450626,2017-08-12 23:59:29+00:00,Sat Aug 12 23:59:29 +0000 2017,,,,http://bronxvoice.com/uk-tries-to-parry-claims-its-unprepared-in-brexit-talks/
hollis_kookmin,,Wales Joins Scotland in Opposing U.K. Government Over Brexit http://dlvr.it/PdgfGG,0,0,0,896521455222915072,https://twitter.com/hollis_kookmin/status/896521455222915072,890527904794165249,2017-08-12 23:59:06+00:00,Sat Aug 12 23:59:06 +0000 2017,,,,http://dlvr.it/PdgfGG
capital_taiyo,,Wales Joins Scotland in Opposing U.K. Government Over Brexit http://dlvr.it/PdgfGj,0,0,0,896521454275002368,https://twitter.com/capital_taiyo/status/896521454275002368,889830252708540416,2017-08-12 23:59:05+00:00,Sat Aug 12 23:59:05 +0000 2017,,,,http://dlvr.it/PdgfGj
thelastaerie,,David Miliband: we need a second vote on Brexit deal https://www.theguardian.com/politics/2017/aug/12/david-miliband-calls-second-vote-on-brexit-deal-europe-britain?CMP=share_btn_tw,2,2,0,896521431781167104,https://twitter.com/thelastaerie/status/896521431781167104,51412274,2017-08-12 23:59:00+00:00,Sat Aug 12 23:59:00 +0000 2017,,,,https://www.theguardian.com/politics/2017/aug/12/david-miliband-calls-second-vote-on-brexit-deal-europe-britain?CMP=share_btn_tw
e_brailsford,clarkybull,"it would be like my Irish passport thanks to my gran and great gran , if brexit is as bad as it will be i have a get out of jail free card .",0,0,2,896521430581395456,https://twitter.com/e_brailsford/status/896521430581395456,340418617,2017-08-12 23:59:00+00:00,Sat Aug 12 23:59:00 +0000 2017,,,,
662Maz,BrexitBin,"#JC4PM, no ifs, no buts, no blairite tory copies. It's not just about Brexit but homeless, NHS, austerity etc. Corbyn is not a 1 trick pony ",12,9,0,896521427268120578,https://twitter.com/662Maz/status/896521427268120578,1557771882,2017-08-12 23:58:59+00:00,Sat Aug 12 23:58:59 +0000 2017,#JC4PM,,,https://twitter.com/BrexitBin/status/896486481807646720
Noesis14,f_philippot,En perdant la Présidentielle ? En perdant les législatives ? En perdant les régionales/départementales ? Avec anglais qui regrettent brexit?,0,3,1,896521420674449409,https://twitter.com/Noesis14/status/896521420674449409,758042472,2017-08-12 23:58:57+00:00,Sat Aug 12 23:58:57 +0000 2017,,,,
SEMinLF,The_GFP,Between Trump and Brexit things aren't looking great for us these days I'm afraid.,0,0,0,896521301669621761,https://twitter.com/SEMinLF/status/896521301669621761,246370486,2017-08-12 23:58:29+00:00,Sat Aug 12 23:58:29 +0000 2017,,,,
patrickclowry,,Maybe we could put those ear tags that we put on cattle - on humans as well @StephenNolan - #Brexit #NI #Republic.!! #technology,1,0,0,896521258912718848,https://twitter.com/patrickclowry/status/896521258912718848,118166260,2017-08-12 23:58:19+00:00,Sat Aug 12 23:58:19 +0000 2017,#Brexit #NI #technology,@StephenNolan,,
