username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
brexit_clock,,"Brexit is now 31st January 2020 : 31 days, 22 hours, 59 minutes and 59 seconds #BREXIT #BREXITCLOCK #CLOCK #EU #EUREF #LEAVE",0,0,0,1211799122300276736,https://twitter.com/brexit_clock/status/1211799122300276736,931571397280845824,2019-12-30 23:59:59+00:00,Mon Dec 30 23:59:59 +0000 2019,#BREXIT #BREXITCLOCK #CLOCK #EU #EUREF #LEAVE,,,
brucemcpherson,NeilUKIP,"But we are responsible for 100% of the emissions originating in Britain,so let’s start there, and as a finished goods importer and have leverage to buy from clean suppliers. Finally, don’t you dare pretend to care about crashing the economy. Your pointless brexit will do that.",3,20,0,1211799096673087494,https://twitter.com/brucemcpherson/status/1211799096673087494,17517365,2019-12-30 23:59:53+00:00,Mon Dec 30 23:59:53 +0000 2019,,,,
marnwal,,"I recall in BBC's 'Outnumbered' that a German exchange student though Boris as mayor was a situation comedy shown world wide, I have been struck by a thought, Am I like Truman living in a situation comedy of sorts? Trump, Brexit, you name it. A thought?",0,0,0,1211799078520180739,https://twitter.com/marnwal/status/1211799078520180739,228770396,2019-12-30 23:59:49+00:00,Mon Dec 30 23:59:49 +0000 2019,,,,
theTiser,,"So much has changed in the past decade. Remember Adelaide before our magnificent new oval and high-rise boom? The shattering deaths of Phil Hughes and Phil Walsh? And the world before Trump, Brexit and smartphones? Let’s head back in time... ",1,0,2,1211799075265351680,https://twitter.com/theTiser/status/1211799075265351680,9609582,2019-12-30 23:59:48+00:00,Mon Dec 30 23:59:48 +0000 2019,,,,http://bit.ly/2SF7RpO
simonwatts17,JimMFelton,"See, all those hours watching #TheWalkingDead and playing #Fallout4 were not wasted - they are ideal training for life post-#Brexit.",0,0,0,1211799070790029314,https://twitter.com/simonwatts17/status/1211799070790029314,2649559763,2019-12-30 23:59:47+00:00,Mon Dec 30 23:59:47 +0000 2019,#TheWalkingDead #TheWalkingDead #Fallout4 #Brexit,,,
SteveLimbert,AndrewKnight226,"Your wrong, that fugue is speculative. Truth is nobody knows but a party who put brexit as a priority got a thumping majority - call it a confirmation vote - not that it was needed but hey you’ll like it - FACT! ",0,0,1,1211799063416516619,https://twitter.com/SteveLimbert/status/1211799063416516619,724705399832715264,2019-12-30 23:59:45+00:00,Mon Dec 30 23:59:45 +0000 2019,,,,
RichieD76,SarahMcCartney,https://www.ft.com/content/05e5fcf0-176a-11ea-9ee4-11f260415385 Even the Euro fanatic FT are singing the economic praises of brexit now. They have finally given up on the fake news narrative and come clean about the positives,0,0,1,1211799057758334981,https://twitter.com/RichieD76/status/1211799057758334981,196163097,2019-12-30 23:59:44+00:00,Mon Dec 30 23:59:44 +0000 2019,,,,https://www.ft.com/content/05e5fcf0-176a-11ea-9ee4-11f260415385
Uptotherewithit,,BBC Summary of 10yrs has featured criticism of UKIP twice in one show. UKIP brought the country Brexit and they can't hide their hatred. Wait till they see whats going to happen next. We're going to take away their license fee. They only represent London anyway.,1,4,0,1211799046190501889,https://twitter.com/Uptotherewithit/status/1211799046190501889,315826539,2019-12-30 23:59:41+00:00,Mon Dec 30 23:59:41 +0000 2019,,,,
Debstu0,TheNewEuropean,Going to a bit tricky for Boris the parrot to stop saying “get Brexit done”. He’s been saying it in his sleep for the past 6 months,0,1,0,1211799026347192320,https://twitter.com/Debstu0/status/1211799026347192320,483956063,2019-12-30 23:59:36+00:00,Mon Dec 30 23:59:36 +0000 2019,,,,
DaithidePaor14,Begentle50,No. Not at all. What I’m saying is that GB can’t feed itself.,0,1,1,1211799004494860295,https://twitter.com/DaithidePaor14/status/1211799004494860295,1688897754,2019-12-30 23:59:31+00:00,Mon Dec 30 23:59:31 +0000 2019,,,,
foodologistgirl,SJJB55,"Corbyn tweeted within hours. Last time I look Johnson hadn’t said anything for 2 days, but did mention Brexit ",0,4,1,1211798980675416066,https://twitter.com/foodologistgirl/status/1211798980675416066,4100489122,2019-12-30 23:59:25+00:00,Mon Dec 30 23:59:25 +0000 2019,,,,
Deganwy2019,AynieLR,Happy Brexit. Big party here. Can’t wait ,0,0,0,1211798977819099136,https://twitter.com/Deganwy2019/status/1211798977819099136,2827766679,2019-12-30 23:59:25+00:00,Mon Dec 30 23:59:25 +0000 2019,,,,
